Symbol Name,Reference,Value,Footprint,Datasheet,Description,Manufacturer,MPN,Tolerance,Series,Trustedparts Search,Maximum DC Current (A),Maximum DC Resistance (Ω)
L_MSD7342-252ML,L,2.5 µH,coupled_inductor_footprints:MSD7342,https://www.coilcraft.com/getmedia/bd00e7ca-3707-4fbb-84fc-c9b381ce0e78/msd7342.pdf,COUPLED INDUCTOR SMD 2.5 µH ±20%,Coilcraft,MSD7342-252ML,±20%,MSD7342,https://www.trustedparts.com/en/search/MSD7342-252ML,3.1,0.033
L_MSD7342-332ML,L,3.3 µH,coupled_inductor_footprints:MSD7342,https://www.coilcraft.com/getmedia/bd00e7ca-3707-4fbb-84fc-c9b381ce0e78/msd7342.pdf,COUPLED INDUCTOR SMD 3.3 µH ±20%,Coilcraft,MSD7342-332ML,±20%,MSD7342,https://www.trustedparts.com/en/search/MSD7342-332ML,2.9,0.037
L_MSD7342-472ML,L,4.7 µH,coupled_inductor_footprints:MSD7342,https://www.coilcraft.com/getmedia/bd00e7ca-3707-4fbb-84fc-c9b381ce0e78/msd7342.pdf,COUPLED INDUCTOR SMD 4.7 µH ±20%,Coilcraft,MSD7342-472ML,±20%,MSD7342,https://www.trustedparts.com/en/search/MSD7342-472ML,2.5,0.051
L_MSD7342-562ML,L,5.6 µH,coupled_inductor_footprints:MSD7342,https://www.coilcraft.com/getmedia/bd00e7ca-3707-4fbb-84fc-c9b381ce0e78/msd7342.pdf,COUPLED INDUCTOR SMD 5.6 µH ±20%,Coilcraft,MSD7342-562ML,±20%,MSD7342,https://www.trustedparts.com/en/search/MSD7342-562ML,2.2,0.063
L_MSD7342-682ML,L,6.8 µH,coupled_inductor_footprints:MSD7342,https://www.coilcraft.com/getmedia/bd00e7ca-3707-4fbb-84fc-c9b381ce0e78/msd7342.pdf,COUPLED INDUCTOR SMD 6.8 µH ±20%,Coilcraft,MSD7342-682ML,±20%,MSD7342,https://www.trustedparts.com/en/search/MSD7342-682ML,2.1,0.070
L_MSD7342-822ML,L,8.2 µH,coupled_inductor_footprints:MSD7342,https://www.coilcraft.com/getmedia/bd00e7ca-3707-4fbb-84fc-c9b381ce0e78/msd7342.pdf,COUPLED INDUCTOR SMD 8.2 µH ±20%,Coilcraft,MSD7342-822ML,±20%,MSD7342,https://www.trustedparts.com/en/search/MSD7342-822ML,2.0,0.075
L_MSD7342-103ML,L,10 µH,coupled_inductor_footprints:MSD7342,https://www.coilcraft.com/getmedia/bd00e7ca-3707-4fbb-84fc-c9b381ce0e78/msd7342.pdf,COUPLED INDUCTOR SMD 10 µH ±20%,Coilcraft,MSD7342-103ML,±20%,MSD7342,https://www.trustedparts.com/en/search/MSD7342-103ML,1.8,0.100
L_MSD7342-123ML,L,12 µH,coupled_inductor_footprints:MSD7342,https://www.coilcraft.com/getmedia/bd00e7ca-3707-4fbb-84fc-c9b381ce0e78/msd7342.pdf,COUPLED INDUCTOR SMD 12 µH ±20%,Coilcraft,MSD7342-123ML,±20%,MSD7342,https://www.trustedparts.com/en/search/MSD7342-123ML,1.6,0.120
L_MSD7342-153ML,L,15 µH,coupled_inductor_footprints:MSD7342,https://www.coilcraft.com/getmedia/bd00e7ca-3707-4fbb-84fc-c9b381ce0e78/msd7342.pdf,COUPLED INDUCTOR SMD 15 µH ±20%,Coilcraft,MSD7342-153ML,±20%,MSD7342,https://www.trustedparts.com/en/search/MSD7342-153ML,1.5,0.130
L_MSD7342-183ML,L,18 µH,coupled_inductor_footprints:MSD7342,https://www.coilcraft.com/getmedia/bd00e7ca-3707-4fbb-84fc-c9b381ce0e78/msd7342.pdf,COUPLED INDUCTOR SMD 18 µH ±20%,Coilcraft,MSD7342-183ML,±20%,MSD7342,https://www.trustedparts.com/en/search/MSD7342-183ML,1.4,0.170
