Symbol Name,Datasheet,Description,Footprint,Reference,Value
SolderJumper_2_Bridged,~,"Solder Jumper, 2-pole, closed/bridged",footprints:SolderJumper-2_P1.3mm_Bridged_RoundedPad1.0x1.5mm,JP,SolderJumper_2_Bridged
SolderJumper_3_Open,~,"Solder Jumper, 3-pole, open",footprints:SolderJumper-3_P1.3mm_Open_RoundedPad1.0x1.5mm_NumberLabels,JP,SolderJumper_3_Open
