Symbol Name,Reference,Value,Footprint,Datasheet,Description,Manufacturer,MPN,Tolerance,Temperature Coefficient,Voltage Rating,Case Code - in,Case Code - mm,Series,Trustedparts Search,3dviewer Link,Component Type
R_ERJ-2GEJ4R3X,R,4.3 Ω,resistor_footprints:R_0402_1005Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C301.pdf,RES SMD 4.3 Ω 5% 0402 50V,Panasonic,ERJ-2GEJ4R3X,5%,200 ppm/°C,50V,0402,1005,ERJ-2GEJ,https://www.trustedparts.com/en/search/ERJ-2GEJ4R3X,https://3dviewer.net/index.html#model=https://github.com/ionutms/KiCAD_Symbols_Generator/blob/main/3D_models/R_0402.step,Resistor
R_ERJ-2GEJ4R7X,R,4.7 Ω,resistor_footprints:R_0402_1005Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C301.pdf,RES SMD 4.7 Ω 5% 0402 50V,Panasonic,ERJ-2GEJ4R7X,5%,200 ppm/°C,50V,0402,1005,ERJ-2GEJ,https://www.trustedparts.com/en/search/ERJ-2GEJ4R7X,https://3dviewer.net/index.html#model=https://github.com/ionutms/KiCAD_Symbols_Generator/blob/main/3D_models/R_0402.step,Resistor
R_ERJ-2GEJ5R1X,R,5.1 Ω,resistor_footprints:R_0402_1005Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C301.pdf,RES SMD 5.1 Ω 5% 0402 50V,Panasonic,ERJ-2GEJ5R1X,5%,200 ppm/°C,50V,0402,1005,ERJ-2GEJ,https://www.trustedparts.com/en/search/ERJ-2GEJ5R1X,https://3dviewer.net/index.html#model=https://github.com/ionutms/KiCAD_Symbols_Generator/blob/main/3D_models/R_0402.step,Resistor
R_ERJ-2GEJ5R6X,R,5.6 Ω,resistor_footprints:R_0402_1005Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C301.pdf,RES SMD 5.6 Ω 5% 0402 50V,Panasonic,ERJ-2GEJ5R6X,5%,200 ppm/°C,50V,0402,1005,ERJ-2GEJ,https://www.trustedparts.com/en/search/ERJ-2GEJ5R6X,https://3dviewer.net/index.html#model=https://github.com/ionutms/KiCAD_Symbols_Generator/blob/main/3D_models/R_0402.step,Resistor
R_ERJ-2GEJ6R2X,R,6.2 Ω,resistor_footprints:R_0402_1005Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C301.pdf,RES SMD 6.2 Ω 5% 0402 50V,Panasonic,ERJ-2GEJ6R2X,5%,200 ppm/°C,50V,0402,1005,ERJ-2GEJ,https://www.trustedparts.com/en/search/ERJ-2GEJ6R2X,https://3dviewer.net/index.html#model=https://github.com/ionutms/KiCAD_Symbols_Generator/blob/main/3D_models/R_0402.step,Resistor
R_ERJ-2GEJ6R8X,R,6.8 Ω,resistor_footprints:R_0402_1005Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C301.pdf,RES SMD 6.8 Ω 5% 0402 50V,Panasonic,ERJ-2GEJ6R8X,5%,200 ppm/°C,50V,0402,1005,ERJ-2GEJ,https://www.trustedparts.com/en/search/ERJ-2GEJ6R8X,https://3dviewer.net/index.html#model=https://github.com/ionutms/KiCAD_Symbols_Generator/blob/main/3D_models/R_0402.step,Resistor
R_ERJ-2GEJ7R5X,R,7.5 Ω,resistor_footprints:R_0402_1005Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C301.pdf,RES SMD 7.5 Ω 5% 0402 50V,Panasonic,ERJ-2GEJ7R5X,5%,200 ppm/°C,50V,0402,1005,ERJ-2GEJ,https://www.trustedparts.com/en/search/ERJ-2GEJ7R5X,https://3dviewer.net/index.html#model=https://github.com/ionutms/KiCAD_Symbols_Generator/blob/main/3D_models/R_0402.step,Resistor
R_ERJ-2GEJ8R2X,R,8.2 Ω,resistor_footprints:R_0402_1005Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C301.pdf,RES SMD 8.2 Ω 5% 0402 50V,Panasonic,ERJ-2GEJ8R2X,5%,200 ppm/°C,50V,0402,1005,ERJ-2GEJ,https://www.trustedparts.com/en/search/ERJ-2GEJ8R2X,https://3dviewer.net/index.html#model=https://github.com/ionutms/KiCAD_Symbols_Generator/blob/main/3D_models/R_0402.step,Resistor
R_ERJ-2GEJ9R1X,R,9.1 Ω,resistor_footprints:R_0402_1005Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C301.pdf,RES SMD 9.1 Ω 5% 0402 50V,Panasonic,ERJ-2GEJ9R1X,5%,200 ppm/°C,50V,0402,1005,ERJ-2GEJ,https://www.trustedparts.com/en/search/ERJ-2GEJ9R1X,https://3dviewer.net/index.html#model=https://github.com/ionutms/KiCAD_Symbols_Generator/blob/main/3D_models/R_0402.step,Resistor
R_ERJ-2GEJ100X,R,10 Ω,resistor_footprints:R_0402_1005Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C301.pdf,RES SMD 10 Ω 5% 0402 50V,Panasonic,ERJ-2GEJ100X,5%,200 ppm/°C,50V,0402,1005,ERJ-2GEJ,https://www.trustedparts.com/en/search/ERJ-2GEJ100X,https://3dviewer.net/index.html#model=https://github.com/ionutms/KiCAD_Symbols_Generator/blob/main/3D_models/R_0402.step,Resistor
R_ERJ-2GEJ110X,R,11 Ω,resistor_footprints:R_0402_1005Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C301.pdf,RES SMD 11 Ω 5% 0402 50V,Panasonic,ERJ-2GEJ110X,5%,200 ppm/°C,50V,0402,1005,ERJ-2GEJ,https://www.trustedparts.com/en/search/ERJ-2GEJ110X,https://3dviewer.net/index.html#model=https://github.com/ionutms/KiCAD_Symbols_Generator/blob/main/3D_models/R_0402.step,Resistor
R_ERJ-2GEJ120X,R,12 Ω,resistor_footprints:R_0402_1005Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C301.pdf,RES SMD 12 Ω 5% 0402 50V,Panasonic,ERJ-2GEJ120X,5%,200 ppm/°C,50V,0402,1005,ERJ-2GEJ,https://www.trustedparts.com/en/search/ERJ-2GEJ120X,https://3dviewer.net/index.html#model=https://github.com/ionutms/KiCAD_Symbols_Generator/blob/main/3D_models/R_0402.step,Resistor
R_ERJ-2GEJ130X,R,13 Ω,resistor_footprints:R_0402_1005Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C301.pdf,RES SMD 13 Ω 5% 0402 50V,Panasonic,ERJ-2GEJ130X,5%,200 ppm/°C,50V,0402,1005,ERJ-2GEJ,https://www.trustedparts.com/en/search/ERJ-2GEJ130X,https://3dviewer.net/index.html#model=https://github.com/ionutms/KiCAD_Symbols_Generator/blob/main/3D_models/R_0402.step,Resistor
R_ERJ-2GEJ150X,R,15 Ω,resistor_footprints:R_0402_1005Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C301.pdf,RES SMD 15 Ω 5% 0402 50V,Panasonic,ERJ-2GEJ150X,5%,200 ppm/°C,50V,0402,1005,ERJ-2GEJ,https://www.trustedparts.com/en/search/ERJ-2GEJ150X,https://3dviewer.net/index.html#model=https://github.com/ionutms/KiCAD_Symbols_Generator/blob/main/3D_models/R_0402.step,Resistor
R_ERJ-2GEJ160X,R,16 Ω,resistor_footprints:R_0402_1005Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C301.pdf,RES SMD 16 Ω 5% 0402 50V,Panasonic,ERJ-2GEJ160X,5%,200 ppm/°C,50V,0402,1005,ERJ-2GEJ,https://www.trustedparts.com/en/search/ERJ-2GEJ160X,https://3dviewer.net/index.html#model=https://github.com/ionutms/KiCAD_Symbols_Generator/blob/main/3D_models/R_0402.step,Resistor
R_ERJ-2GEJ180X,R,18 Ω,resistor_footprints:R_0402_1005Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C301.pdf,RES SMD 18 Ω 5% 0402 50V,Panasonic,ERJ-2GEJ180X,5%,200 ppm/°C,50V,0402,1005,ERJ-2GEJ,https://www.trustedparts.com/en/search/ERJ-2GEJ180X,https://3dviewer.net/index.html#model=https://github.com/ionutms/KiCAD_Symbols_Generator/blob/main/3D_models/R_0402.step,Resistor
R_ERJ-2GEJ200X,R,20 Ω,resistor_footprints:R_0402_1005Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C301.pdf,RES SMD 20 Ω 5% 0402 50V,Panasonic,ERJ-2GEJ200X,5%,200 ppm/°C,50V,0402,1005,ERJ-2GEJ,https://www.trustedparts.com/en/search/ERJ-2GEJ200X,https://3dviewer.net/index.html#model=https://github.com/ionutms/KiCAD_Symbols_Generator/blob/main/3D_models/R_0402.step,Resistor
