Symbol Name,Reference,Value,Footprint,Datasheet,Description,Manufacturer,MPN,Dielectric,Tolerance,Voltage Rating,Case Code - in,Case Code - mm,Series,Trustedparts Search,Capacitor Type,3dviewer Link
C_KGM31HR71H103KU,C,10 nF,capacitor_footprints:C_1206_3216Metric,https://datasheets.kyocera-avx.com/KGM_X7R.pdfKGM31HR71H103KU,CAP SMD 10 nF X7R 10% 1206 50V,KYOCERA AVX,KGM31HR71H103KU,X7R,10%,50V,1206,3216,KGM31HR71H,https://www.trustedparts.com/en/search/KGM31HR71H103KU,Ceramic,https://3dviewer.net/index.html#model=https://github.com/ionutms/KiCAD_Symbols_Generator/blob/main/3D_models/C_1206.step
C_KGM31HR71H123KU,C,12 nF,capacitor_footprints:C_1206_3216Metric,https://datasheets.kyocera-avx.com/KGM_X7R.pdfKGM31HR71H123KU,CAP SMD 12 nF X7R 10% 1206 50V,KYOCERA AVX,KGM31HR71H123KU,X7R,10%,50V,1206,3216,KGM31HR71H,https://www.trustedparts.com/en/search/KGM31HR71H123KU,Ceramic,https://3dviewer.net/index.html#model=https://github.com/ionutms/KiCAD_Symbols_Generator/blob/main/3D_models/C_1206.step
C_KGM31HR71H153KU,C,15 nF,capacitor_footprints:C_1206_3216Metric,https://datasheets.kyocera-avx.com/KGM_X7R.pdfKGM31HR71H153KU,CAP SMD 15 nF X7R 10% 1206 50V,KYOCERA AVX,KGM31HR71H153KU,X7R,10%,50V,1206,3216,KGM31HR71H,https://www.trustedparts.com/en/search/KGM31HR71H153KU,Ceramic,https://3dviewer.net/index.html#model=https://github.com/ionutms/KiCAD_Symbols_Generator/blob/main/3D_models/C_1206.step
C_KGM31HR71H183KU,C,18 nF,capacitor_footprints:C_1206_3216Metric,https://datasheets.kyocera-avx.com/KGM_X7R.pdfKGM31HR71H183KU,CAP SMD 18 nF X7R 10% 1206 50V,KYOCERA AVX,KGM31HR71H183KU,X7R,10%,50V,1206,3216,KGM31HR71H,https://www.trustedparts.com/en/search/KGM31HR71H183KU,Ceramic,https://3dviewer.net/index.html#model=https://github.com/ionutms/KiCAD_Symbols_Generator/blob/main/3D_models/C_1206.step
C_KGM31HR71H223KU,C,22 nF,capacitor_footprints:C_1206_3216Metric,https://datasheets.kyocera-avx.com/KGM_X7R.pdfKGM31HR71H223KU,CAP SMD 22 nF X7R 10% 1206 50V,KYOCERA AVX,KGM31HR71H223KU,X7R,10%,50V,1206,3216,KGM31HR71H,https://www.trustedparts.com/en/search/KGM31HR71H223KU,Ceramic,https://3dviewer.net/index.html#model=https://github.com/ionutms/KiCAD_Symbols_Generator/blob/main/3D_models/C_1206.step
C_KGM31HR71H273KU,C,27 nF,capacitor_footprints:C_1206_3216Metric,https://datasheets.kyocera-avx.com/KGM_X7R.pdfKGM31HR71H273KU,CAP SMD 27 nF X7R 10% 1206 50V,KYOCERA AVX,KGM31HR71H273KU,X7R,10%,50V,1206,3216,KGM31HR71H,https://www.trustedparts.com/en/search/KGM31HR71H273KU,Ceramic,https://3dviewer.net/index.html#model=https://github.com/ionutms/KiCAD_Symbols_Generator/blob/main/3D_models/C_1206.step
C_KGM31HR71H333KU,C,33 nF,capacitor_footprints:C_1206_3216Metric,https://datasheets.kyocera-avx.com/KGM_X7R.pdfKGM31HR71H333KU,CAP SMD 33 nF X7R 10% 1206 50V,KYOCERA AVX,KGM31HR71H333KU,X7R,10%,50V,1206,3216,KGM31HR71H,https://www.trustedparts.com/en/search/KGM31HR71H333KU,Ceramic,https://3dviewer.net/index.html#model=https://github.com/ionutms/KiCAD_Symbols_Generator/blob/main/3D_models/C_1206.step
C_KGM31HR71H393KU,C,39 nF,capacitor_footprints:C_1206_3216Metric,https://datasheets.kyocera-avx.com/KGM_X7R.pdfKGM31HR71H393KU,CAP SMD 39 nF X7R 10% 1206 50V,KYOCERA AVX,KGM31HR71H393KU,X7R,10%,50V,1206,3216,KGM31HR71H,https://www.trustedparts.com/en/search/KGM31HR71H393KU,Ceramic,https://3dviewer.net/index.html#model=https://github.com/ionutms/KiCAD_Symbols_Generator/blob/main/3D_models/C_1206.step
C_KGM31HR71H473KU,C,47 nF,capacitor_footprints:C_1206_3216Metric,https://datasheets.kyocera-avx.com/KGM_X7R.pdfKGM31HR71H473KU,CAP SMD 47 nF X7R 10% 1206 50V,KYOCERA AVX,KGM31HR71H473KU,X7R,10%,50V,1206,3216,KGM31HR71H,https://www.trustedparts.com/en/search/KGM31HR71H473KU,Ceramic,https://3dviewer.net/index.html#model=https://github.com/ionutms/KiCAD_Symbols_Generator/blob/main/3D_models/C_1206.step
C_KGM31HR71H683KU,C,68 nF,capacitor_footprints:C_1206_3216Metric,https://datasheets.kyocera-avx.com/KGM_X7R.pdfKGM31HR71H683KU,CAP SMD 68 nF X7R 10% 1206 50V,KYOCERA AVX,KGM31HR71H683KU,X7R,10%,50V,1206,3216,KGM31HR71H,https://www.trustedparts.com/en/search/KGM31HR71H683KU,Ceramic,https://3dviewer.net/index.html#model=https://github.com/ionutms/KiCAD_Symbols_Generator/blob/main/3D_models/C_1206.step
