Symbol Name,Reference,Value,Footprint,Datasheet,Description,Manufacturer,MPN,Tolerance,Temperature Coefficient,Voltage Rating,Case Code - in,Case Code - mm,Series,Trustedparts Search
R_RT0805DRE0747RL,R,47 Ω,resistor_footprints:R_0805_2012Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RT0805DRE0747RL,RES SMD 47 Ω 0.5% 0805 150V,Yageo,RT0805DRE0747RL,0.5%,50 ppm/°C,150V,0805,2012,RT0805DRE07,https://www.trustedparts.com/en/search/RT0805DRE0747RL
R_RT0805FRE0747RL,R,47 Ω,resistor_footprints:R_0805_2012Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RT0805FRE0747RL,RES SMD 47 Ω 1% 0805 150V,Yageo,RT0805FRE0747RL,1%,50 ppm/°C,150V,0805,2012,RT0805FRE07,https://www.trustedparts.com/en/search/RT0805FRE0747RL
R_RT0805FRD0747RL,R,47 Ω,resistor_footprints:R_0805_2012Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RT0805FRD0747RL,RES SMD 47 Ω 1% 0805 150V,Yageo,RT0805FRD0747RL,1%,25 ppm/°C,150V,0805,2012,RT0805FRD07,https://www.trustedparts.com/en/search/RT0805FRD0747RL
R_RT1206FRE0747RL,R,47 Ω,resistor_footprints:R_1206_3216Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RT1206FRE0747RL,RES SMD 47 Ω 1% 1206 200V,Yageo,RT1206FRE0747RL,1%,50 ppm/°C,200V,1206,3216,RT1206FRE07,https://www.trustedparts.com/en/search/RT1206FRE0747RL
R_RT2512FKE0747RL,R,47 Ω,resistor_footprints:R_2512_6332Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RT2512FKE0747RL,RES SMD 47 Ω 1% 2512 200V,Yageo,RT2512FKE0747RL,1%,50 ppm/°C,200V,2512,6332,RT2512FKE07,https://www.trustedparts.com/en/search/RT2512FKE0747RL
R_AA0805FR-0747RL,R,47 Ω,resistor_footprints:R_0805_2012Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=AA0805FR-0747RL,RES SMD 47 Ω 1% 0805 150V,Yageo,AA0805FR-0747RL,1%,25 ppm/°C,150V,0805,2012,AA0805FR-07,https://www.trustedparts.com/en/search/AA0805FR-0747RL
R_ERJ-2RKF47R5X,R,47.5 Ω,resistor_footprints:R_0402_1005Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 47.5 Ω 1% 0402 50V,Panasonic,ERJ-2RKF47R5X,1%,100 ppm/°C,50V,0402,1005,ERJ-2RKF,https://www.trustedparts.com/en/search/ERJ-2RKF47R5X
R_ERJ-3EKF47R5V,R,47.5 Ω,resistor_footprints:R_0603_1608Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 47.5 Ω 1% 0603 75V,Panasonic,ERJ-3EKF47R5V,1%,100 ppm/°C,75V,0603,1608,ERJ-3EKF,https://www.trustedparts.com/en/search/ERJ-3EKF47R5V
R_ERJ-6ENF47R5V,R,47.5 Ω,resistor_footprints:R_0805_2012Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 47.5 Ω 1% 0805 150V,Panasonic,ERJ-6ENF47R5V,1%,100 ppm/°C,150V,0805,2012,ERJ-6ENF,https://www.trustedparts.com/en/search/ERJ-6ENF47R5V
R_ERJ-P08F47R5V,R,47.5 Ω,resistor_footprints:R_1206_3216Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDO0000/AOA0000C331.pdf,RES SMD 47.5 Ω 1% 1206 500V,Panasonic,ERJ-P08F47R5V,1%,100 ppm/°C,500V,1206,3216,ERJ-P08F,https://www.trustedparts.com/en/search/ERJ-P08F47R5V
