Symbol Name,Reference,Value,Footprint,Datasheet,Description,Manufacturer,MPN,Tolerance,Series,Trustedparts Search,Maximum DC Current (A),Maximum DC Resistance (Ω)
L_XAL7020-151ME,L,150 nH,inductor_footprints:XAL7020,https://www.coilcraft.com/getmedia/0197e98c-67f7-4375-9e38-14d7376a46f3/xal7020.pdf,INDUCTOR SMD 150 nH ±20%,Coilcraft,XAL7020-151ME,±20%,XAL7020,https://www.trustedparts.com/en/search/XAL7020-151ME,24.0,2.500
L_XAL7020-271ME,L,270 nH,inductor_footprints:XAL7020,https://www.coilcraft.com/getmedia/0197e98c-67f7-4375-9e38-14d7376a46f3/xal7020.pdf,INDUCTOR SMD 270 nH ±20%,Coilcraft,XAL7020-271ME,±20%,XAL7020,https://www.trustedparts.com/en/search/XAL7020-271ME,21.0,3.800
L_XAL7020-331ME,L,330 nH,inductor_footprints:XAL7020,https://www.coilcraft.com/getmedia/0197e98c-67f7-4375-9e38-14d7376a46f3/xal7020.pdf,INDUCTOR SMD 330 nH ±20%,Coilcraft,XAL7020-331ME,±20%,XAL7020,https://www.trustedparts.com/en/search/XAL7020-331ME,20.0,5.200
L_XAL7020-471ME,L,470 nH,inductor_footprints:XAL7020,https://www.coilcraft.com/getmedia/0197e98c-67f7-4375-9e38-14d7376a46f3/xal7020.pdf,INDUCTOR SMD 470 nH ±20%,Coilcraft,XAL7020-471ME,±20%,XAL7020,https://www.trustedparts.com/en/search/XAL7020-471ME,17.0,6.400
L_XAL7020-681ME,L,680 nH,inductor_footprints:XAL7020,https://www.coilcraft.com/getmedia/0197e98c-67f7-4375-9e38-14d7376a46f3/xal7020.pdf,INDUCTOR SMD 680 nH ±20%,Coilcraft,XAL7020-681ME,±20%,XAL7020,https://www.trustedparts.com/en/search/XAL7020-681ME,13.0,9.500
L_XAL7020-102ME,L,1 µH,inductor_footprints:XAL7020,https://www.coilcraft.com/getmedia/0197e98c-67f7-4375-9e38-14d7376a46f3/xal7020.pdf,INDUCTOR SMD 1 µH ±20%,Coilcraft,XAL7020-102ME,±20%,XAL7020,https://www.trustedparts.com/en/search/XAL7020-102ME,11.0,10.800
L_XAL7020-122ME,L,1.2 µH,inductor_footprints:XAL7020,https://www.coilcraft.com/getmedia/0197e98c-67f7-4375-9e38-14d7376a46f3/xal7020.pdf,INDUCTOR SMD 1.2 µH ±20%,Coilcraft,XAL7020-122ME,±20%,XAL7020,https://www.trustedparts.com/en/search/XAL7020-122ME,10.0,12.800
L_XAL7020-152ME,L,1.5 µH,inductor_footprints:XAL7020,https://www.coilcraft.com/getmedia/0197e98c-67f7-4375-9e38-14d7376a46f3/xal7020.pdf,INDUCTOR SMD 1.5 µH ±20%,Coilcraft,XAL7020-152ME,±20%,XAL7020,https://www.trustedparts.com/en/search/XAL7020-152ME,9.0,19.300
L_XAL7020-222ME,L,2.2 µH,inductor_footprints:XAL7020,https://www.coilcraft.com/getmedia/0197e98c-67f7-4375-9e38-14d7376a46f3/xal7020.pdf,INDUCTOR SMD 2.2 µH ±20%,Coilcraft,XAL7020-222ME,±20%,XAL7020,https://www.trustedparts.com/en/search/XAL7020-222ME,7.0,31.600
