Symbol Name,Reference,Value,Footprint,Datasheet,Description,Manufacturer,MPN,Tolerance,Series,Trustedparts Search,Maximum DC Current (A),Maximum DC Resistance (Ω)
L_XAL1350-631ME,L,630 nH,inductor_footprints:XAL1350,https://www.coilcraft.com/getmedia/dc536f86-3a3b-454f-950e-8e153260e61c/xal1350.pdf,INDUCTOR SMD 630 nH ±20%,Coilcraft,XAL1350-631ME,±20%,XAL1350,https://www.trustedparts.com/en/search/XAL1350-631ME,38.0,1.700
L_XAL1350-931ME,L,930 nH,inductor_footprints:XAL1350,https://www.coilcraft.com/getmedia/dc536f86-3a3b-454f-950e-8e153260e61c/xal1350.pdf,INDUCTOR SMD 930 nH ±20%,Coilcraft,XAL1350-931ME,±20%,XAL1350,https://www.trustedparts.com/en/search/XAL1350-931ME,33.0,2.200
L_XAL1350-132ME,L,1.3 µH,inductor_footprints:XAL1350,https://www.coilcraft.com/getmedia/dc536f86-3a3b-454f-950e-8e153260e61c/xal1350.pdf,INDUCTOR SMD 1.3 µH ±20%,Coilcraft,XAL1350-132ME,±20%,XAL1350,https://www.trustedparts.com/en/search/XAL1350-132ME,32.0,2.700
L_XAL1350-222ME,L,2.2 µH,inductor_footprints:XAL1350,https://www.coilcraft.com/getmedia/dc536f86-3a3b-454f-950e-8e153260e61c/xal1350.pdf,INDUCTOR SMD 2.2 µH ±20%,Coilcraft,XAL1350-222ME,±20%,XAL1350,https://www.trustedparts.com/en/search/XAL1350-222ME,24.0,4.800
L_XAL1350-302ME,L,3 µH,inductor_footprints:XAL1350,https://www.coilcraft.com/getmedia/dc536f86-3a3b-454f-950e-8e153260e61c/xal1350.pdf,INDUCTOR SMD 3 µH ±20%,Coilcraft,XAL1350-302ME,±20%,XAL1350,https://www.trustedparts.com/en/search/XAL1350-302ME,21.0,6.800
