Symbol Name,Reference,Value,Footprint,Datasheet,Description,Manufacturer,MPN,Series,Trustedparts Search,Maximum DC Current (A),Diode Type
"D_PTVS22VP1UTP,115",D,22 V,diode_footprints:SOD128,https://assets.nexperia.com/documents/data-sheet/PTVSXP1UTP_SER.pdf,Unidirectional TVS SMD 22 V,Nexperia,"PTVS22VP1UTP,115",PTVS,"https://www.trustedparts.com/en/search/PTVS22VP1UTP,115",0.0,Unidirectional TVS
"D_PTVS24VP1UTP,115",D,24 V,diode_footprints:SOD128,https://assets.nexperia.com/documents/data-sheet/PTVSXP1UTP_SER.pdf,Unidirectional TVS SMD 24 V,Nexperia,"PTVS24VP1UTP,115",PTVS,"https://www.trustedparts.com/en/search/PTVS24VP1UTP,115",0.0,Unidirectional TVS
"D_PTVS26VP1UTP,115",D,26 V,diode_footprints:SOD128,https://assets.nexperia.com/documents/data-sheet/PTVSXP1UTP_SER.pdf,Unidirectional TVS SMD 26 V,Nexperia,"PTVS26VP1UTP,115",PTVS,"https://www.trustedparts.com/en/search/PTVS26VP1UTP,115",0.0,Unidirectional TVS
"D_PTVS28VP1UTP,115",D,28 V,diode_footprints:SOD128,https://assets.nexperia.com/documents/data-sheet/PTVSXP1UTP_SER.pdf,Unidirectional TVS SMD 28 V,Nexperia,"PTVS28VP1UTP,115",PTVS,"https://www.trustedparts.com/en/search/PTVS28VP1UTP,115",0.0,Unidirectional TVS
"D_PTVS30VP1UTP,115",D,30 V,diode_footprints:SOD128,https://assets.nexperia.com/documents/data-sheet/PTVSXP1UTP_SER.pdf,Unidirectional TVS SMD 30 V,Nexperia,"PTVS30VP1UTP,115",PTVS,"https://www.trustedparts.com/en/search/PTVS30VP1UTP,115",0.0,Unidirectional TVS
"D_PTVS33VP1UTP,115",D,33 V,diode_footprints:SOD128,https://assets.nexperia.com/documents/data-sheet/PTVSXP1UTP_SER.pdf,Unidirectional TVS SMD 33 V,Nexperia,"PTVS33VP1UTP,115",PTVS,"https://www.trustedparts.com/en/search/PTVS33VP1UTP,115",0.0,Unidirectional TVS
"D_PTVS36VP1UTP,115",D,36 V,diode_footprints:SOD128,https://assets.nexperia.com/documents/data-sheet/PTVSXP1UTP_SER.pdf,Unidirectional TVS SMD 36 V,Nexperia,"PTVS36VP1UTP,115",PTVS,"https://www.trustedparts.com/en/search/PTVS36VP1UTP,115",0.0,Unidirectional TVS
"D_PTVS40VP1UTP,115",D,40 V,diode_footprints:SOD128,https://assets.nexperia.com/documents/data-sheet/PTVSXP1UTP_SER.pdf,Unidirectional TVS SMD 40 V,Nexperia,"PTVS40VP1UTP,115",PTVS,"https://www.trustedparts.com/en/search/PTVS40VP1UTP,115",0.0,Unidirectional TVS
"D_PTVS43VP1UTP,115",D,43 V,diode_footprints:SOD128,https://assets.nexperia.com/documents/data-sheet/PTVSXP1UTP_SER.pdf,Unidirectional TVS SMD 43 V,Nexperia,"PTVS43VP1UTP,115",PTVS,"https://www.trustedparts.com/en/search/PTVS43VP1UTP,115",0.0,Unidirectional TVS
"D_PTVS45VP1UTP,115",D,45 V,diode_footprints:SOD128,https://assets.nexperia.com/documents/data-sheet/PTVSXP1UTP_SER.pdf,Unidirectional TVS SMD 45 V,Nexperia,"PTVS45VP1UTP,115",PTVS,"https://www.trustedparts.com/en/search/PTVS45VP1UTP,115",0.0,Unidirectional TVS
"D_PTVS48VP1UTP,115",D,48 V,diode_footprints:SOD128,https://assets.nexperia.com/documents/data-sheet/PTVSXP1UTP_SER.pdf,Unidirectional TVS SMD 48 V,Nexperia,"PTVS48VP1UTP,115",PTVS,"https://www.trustedparts.com/en/search/PTVS48VP1UTP,115",0.0,Unidirectional TVS
"D_PTVS51VP1UTP,115",D,51 V,diode_footprints:SOD128,https://assets.nexperia.com/documents/data-sheet/PTVSXP1UTP_SER.pdf,Unidirectional TVS SMD 51 V,Nexperia,"PTVS51VP1UTP,115",PTVS,"https://www.trustedparts.com/en/search/PTVS51VP1UTP,115",0.0,Unidirectional TVS
"D_PTVS54VP1UTP,115",D,54 V,diode_footprints:SOD128,https://assets.nexperia.com/documents/data-sheet/PTVSXP1UTP_SER.pdf,Unidirectional TVS SMD 54 V,Nexperia,"PTVS54VP1UTP,115",PTVS,"https://www.trustedparts.com/en/search/PTVS54VP1UTP,115",0.0,Unidirectional TVS
"D_PTVS58VP1UTP,115",D,58 V,diode_footprints:SOD128,https://assets.nexperia.com/documents/data-sheet/PTVSXP1UTP_SER.pdf,Unidirectional TVS SMD 58 V,Nexperia,"PTVS58VP1UTP,115",PTVS,"https://www.trustedparts.com/en/search/PTVS58VP1UTP,115",0.0,Unidirectional TVS
"D_PTVS60VP1UTP,115",D,60 V,diode_footprints:SOD128,https://assets.nexperia.com/documents/data-sheet/PTVSXP1UTP_SER.pdf,Unidirectional TVS SMD 60 V,Nexperia,"PTVS60VP1UTP,115",PTVS,"https://www.trustedparts.com/en/search/PTVS60VP1UTP,115",0.0,Unidirectional TVS
"D_PTVS64VP1UTP,115",D,64 V,diode_footprints:SOD128,https://assets.nexperia.com/documents/data-sheet/PTVSXP1UTP_SER.pdf,Unidirectional TVS SMD 64 V,Nexperia,"PTVS64VP1UTP,115",PTVS,"https://www.trustedparts.com/en/search/PTVS64VP1UTP,115",0.0,Unidirectional TVS
