Symbol Name,Reference,Value,Footprint,Datasheet,Description,Manufacturer,MPN,Dielectric,Tolerance,Voltage Rating,Case Code - in,Case Code - mm,Series,Trustedparts Search
C_GCM155R71H822KA55D,C,8.2 nF,capacitor_footprints:C_0402_1005Metric,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GCM155R71H822KA55-01.pdf,CAP SMD 8.2 nF X7R 10% 0402 50V,Murata Electronics,GCM155R71H822KA55D,X7R,10%,50V,0402,1005,GCM155R71H,https://www.trustedparts.com/en/search/GCM155R71H822KA55D
C_GCM155R71H822KA55J,C,8.2 nF,capacitor_footprints:C_0402_1005Metric,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GCM155R71H822KA55-01.pdf,CAP SMD 8.2 nF X7R 10% 0402 50V,Murata Electronics,GCM155R71H822KA55J,X7R,10%,50V,0402,1005,GCM155R71H,https://www.trustedparts.com/en/search/GCM155R71H822KA55J
C_GCM188R71H822KA37D,C,8.2 nF,capacitor_footprints:C_0603_1608Metric,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GCM188R71H822KA37-01.pdf,CAP SMD 8.2 nF X7R 10% 0603 50V,Murata Electronics,GCM188R71H822KA37D,X7R,10%,50V,0603,1608,GCM188R71H,https://www.trustedparts.com/en/search/GCM188R71H822KA37D
C_GCM188R71H822KA37J,C,8.2 nF,capacitor_footprints:C_0603_1608Metric,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GCM188R71H822KA37-01.pdf,CAP SMD 8.2 nF X7R 10% 0603 50V,Murata Electronics,GCM188R71H822KA37J,X7R,10%,50V,0603,1608,GCM188R71H,https://www.trustedparts.com/en/search/GCM188R71H822KA37J
C_GCM216R71H822KA37D,C,8.2 nF,capacitor_footprints:C_0805_2012Metric,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GCM216R71H822KA37-01.pdf,CAP SMD 8.2 nF X7R 10% 0805 50V,Murata Electronics,GCM216R71H822KA37D,X7R,10%,50V,0805,2012,GCM216R71H,https://www.trustedparts.com/en/search/GCM216R71H822KA37D
C_GCM216R71H822KA37J,C,8.2 nF,capacitor_footprints:C_0805_2012Metric,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GCM216R71H822KA37-01.pdf,CAP SMD 8.2 nF X7R 10% 0805 50V,Murata Electronics,GCM216R71H822KA37J,X7R,10%,50V,0805,2012,GCM216R71H,https://www.trustedparts.com/en/search/GCM216R71H822KA37J
C_VJ0603Y822KXBAC,C,8.2 nF,capacitor_footprints:C_0603_1608Metric,https://www.vishay.com/docs/45199/vjcommercialseries.pdf,CAP SMD 8.2 nF X7R 10% 0603 100V,Vishay,VJ0603Y822KXBAC,X7R,10%,100V,0603,1608,VJ0603Y,https://www.trustedparts.com/en/search/CL31/VJ0603Y822KXBAC
C_GCM155R71H103KA55D,C,10 nF,capacitor_footprints:C_0402_1005Metric,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GCM155R71H103KA55-01.pdf,CAP SMD 10 nF X7R 10% 0402 50V,Murata Electronics,GCM155R71H103KA55D,X7R,10%,50V,0402,1005,GCM155R71H,https://www.trustedparts.com/en/search/GCM155R71H103KA55D
C_GCM155R71H103KA55J,C,10 nF,capacitor_footprints:C_0402_1005Metric,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GCM155R71H103KA55-01.pdf,CAP SMD 10 nF X7R 10% 0402 50V,Murata Electronics,GCM155R71H103KA55J,X7R,10%,50V,0402,1005,GCM155R71H,https://www.trustedparts.com/en/search/GCM155R71H103KA55J
C_GCM188R71H103KA37D,C,10 nF,capacitor_footprints:C_0603_1608Metric,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GCM188R71H103KA37-01.pdf,CAP SMD 10 nF X7R 10% 0603 50V,Murata Electronics,GCM188R71H103KA37D,X7R,10%,50V,0603,1608,GCM188R71H,https://www.trustedparts.com/en/search/GCM188R71H103KA37D
C_GCM188R71H103KA37J,C,10 nF,capacitor_footprints:C_0603_1608Metric,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GCM188R71H103KA37-01.pdf,CAP SMD 10 nF X7R 10% 0603 50V,Murata Electronics,GCM188R71H103KA37J,X7R,10%,50V,0603,1608,GCM188R71H,https://www.trustedparts.com/en/search/GCM188R71H103KA37J
C_GCM216R71H103KA37D,C,10 nF,capacitor_footprints:C_0805_2012Metric,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GCM216R71H103KA37-01.pdf,CAP SMD 10 nF X7R 10% 0805 50V,Murata Electronics,GCM216R71H103KA37D,X7R,10%,50V,0805,2012,GCM216R71H,https://www.trustedparts.com/en/search/GCM216R71H103KA37D
C_GCM216R71H103KA37J,C,10 nF,capacitor_footprints:C_0805_2012Metric,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GCM216R71H103KA37-01.pdf,CAP SMD 10 nF X7R 10% 0805 50V,Murata Electronics,GCM216R71H103KA37J,X7R,10%,50V,0805,2012,GCM216R71H,https://www.trustedparts.com/en/search/GCM216R71H103KA37J
C_C1005X7S2A103K050BB,C,10 nF,capacitor_footprints:C_0402_1005Metric,https://product.tdk.com/en/search/capacitor/ceramic/mlcc/info?part_no=C1005X7S2A103K050BB,CAP SMD 10 nF X7S 10% 0402 100V,TDK,C1005X7S2A103K050BB,X7S,10%,100V,0402,1005,C1005X7S2A,https://www.trustedparts.com/en/search/C1005X7S2A103K050BB
C_VJ0603Y103KXBAC,C,10 nF,capacitor_footprints:C_0603_1608Metric,https://www.vishay.com/docs/45199/vjcommercialseries.pdf,CAP SMD 10 nF X7R 10% 0603 100V,Vishay,VJ0603Y103KXBAC,X7R,10%,100V,0603,1608,VJ0603Y,https://www.trustedparts.com/en/search/CL31/VJ0603Y103KXBAC
C_GCM155R71H123KA55D,C,12 nF,capacitor_footprints:C_0402_1005Metric,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GCM155R71H123KA55-01.pdf,CAP SMD 12 nF X7R 10% 0402 50V,Murata Electronics,GCM155R71H123KA55D,X7R,10%,50V,0402,1005,GCM155R71H,https://www.trustedparts.com/en/search/GCM155R71H123KA55D
C_GCM155R71H123KA55J,C,12 nF,capacitor_footprints:C_0402_1005Metric,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GCM155R71H123KA55-01.pdf,CAP SMD 12 nF X7R 10% 0402 50V,Murata Electronics,GCM155R71H123KA55J,X7R,10%,50V,0402,1005,GCM155R71H,https://www.trustedparts.com/en/search/GCM155R71H123KA55J
