Symbol Name,Reference,Value,Footprint,Datasheet,Description,Manufacturer,MPN,Dielectric,Tolerance,Voltage Rating,Case Code - in,Case Code - mm,Series,Trustedparts Search,Capacitor Type,3dviewer Link
C_50SVPK10M,C,10 µF,capacitor_footprints:C_026x026x0236_6_6x6_6x6_0Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/AAB8000/AAB8000C226.pdf50SVPK10M,CAP SMD 10 µF Polymer 20% 026x026x0236 50V,Panasonic,50SVPK10M,Polymer,20%,50V,026x026x0236,6_6x6_6x6_0,50SVPK,https://www.trustedparts.com/en/search/50SVPK10M,Polymer,https://3dviewer.net/index.html#model=https://github.com/ionutms/KiCAD_Symbols_Generator/blob/main/3D_models/C_026x026x0236.step
C_50SVPK22M,C,22 µF,capacitor_footprints:C_026x026x0236_6_6x6_6x6_0Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/AAB8000/AAB8000C226.pdf50SVPK22M,CAP SMD 22 µF Polymer 20% 026x026x0236 50V,Panasonic,50SVPK22M,Polymer,20%,50V,026x026x0236,6_6x6_6x6_0,50SVPK,https://www.trustedparts.com/en/search/50SVPK22M,Polymer,https://3dviewer.net/index.html#model=https://github.com/ionutms/KiCAD_Symbols_Generator/blob/main/3D_models/C_026x026x0236.step
C_50SVPK33M,C,33 µF,capacitor_footprints:C_026x026x0236_6_6x6_6x6_0Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/AAB8000/AAB8000C226.pdf50SVPK33M,CAP SMD 33 µF Polymer 20% 026x026x0236 50V,Panasonic,50SVPK33M,Polymer,20%,50V,026x026x0236,6_6x6_6x6_0,50SVPK,https://www.trustedparts.com/en/search/50SVPK33M,Polymer,https://3dviewer.net/index.html#model=https://github.com/ionutms/KiCAD_Symbols_Generator/blob/main/3D_models/C_026x026x0236.step
C_50SVPK68M,C,68 µF,capacitor_footprints:C_026x026x0236_6_6x6_6x6_0Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/AAB8000/AAB8000C226.pdf50SVPK68M,CAP SMD 68 µF Polymer 20% 026x026x0236 50V,Panasonic,50SVPK68M,Polymer,20%,50V,026x026x0236,6_6x6_6x6_0,50SVPK,https://www.trustedparts.com/en/search/50SVPK68M,Polymer,https://3dviewer.net/index.html#model=https://github.com/ionutms/KiCAD_Symbols_Generator/blob/main/3D_models/C_026x026x0236.step
C_50SVPK120M,C,120 µF,capacitor_footprints:C_026x026x0236_6_6x6_6x6_0Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/AAB8000/AAB8000C226.pdf50SVPK120M,CAP SMD 120 µF Polymer 20% 026x026x0236 50V,Panasonic,50SVPK120M,Polymer,20%,50V,026x026x0236,6_6x6_6x6_0,50SVPK,https://www.trustedparts.com/en/search/50SVPK120M,Polymer,https://3dviewer.net/index.html#model=https://github.com/ionutms/KiCAD_Symbols_Generator/blob/main/3D_models/C_026x026x0236.step
