Symbol Name,Datasheet,Description,Footprint,Reference,Value,ki_fp_filters,ki_keywords
Fiducial,~,Fiducial Marker,no_components_footprints:Fiducial_0.5mm_Mask1mm,FID,Fiducial,Fiducial*,fiducial marker
MountingHole,~,Mounting Hole without connection,no_components_footprints:MountingHole_3.2mm_M3,H,MountingHole,MountingHole*,mounting hole
