Symbol Name,Reference,Value,Footprint,Datasheet,Description,Manufacturer,MPN,Tolerance,Series,Trustedparts Search,Maximum DC Current (A),Maximum DC Resistance (Ω)
L_XAL5050-472ME,L,4.7 µH,inductor_footprints:XAL5050,https://www.coilcraft.com/getmedia/49bc46c8-4b2c-45b9-9b6c-2eaa235ea698/xal50xx.pdf,INDUCTOR SMD 4.7 µH ±20%,Coilcraft,XAL5050-472ME,±20%,XAL5050,https://www.trustedparts.com/en/search/XAL5050-472ME,8.2,24.150
L_XAL5050-562ME,L,5.6 µH,inductor_footprints:XAL5050,https://www.coilcraft.com/getmedia/49bc46c8-4b2c-45b9-9b6c-2eaa235ea698/xal50xx.pdf,INDUCTOR SMD 5.6 µH ±20%,Coilcraft,XAL5050-562ME,±20%,XAL5050,https://www.trustedparts.com/en/search/XAL5050-562ME,7.2,25.800
L_XAL5050-682ME,L,6.8 µH,inductor_footprints:XAL5050,https://www.coilcraft.com/getmedia/49bc46c8-4b2c-45b9-9b6c-2eaa235ea698/xal50xx.pdf,INDUCTOR SMD 6.8 µH ±20%,Coilcraft,XAL5050-682ME,±20%,XAL5050,https://www.trustedparts.com/en/search/XAL5050-682ME,6.4,29.450
L_XAL5050-822ME,L,8.2 µH,inductor_footprints:XAL5050,https://www.coilcraft.com/getmedia/49bc46c8-4b2c-45b9-9b6c-2eaa235ea698/xal50xx.pdf,INDUCTOR SMD 8.2 µH ±20%,Coilcraft,XAL5050-822ME,±20%,XAL5050,https://www.trustedparts.com/en/search/XAL5050-822ME,6.1,34.950
L_XAL5050-103ME,L,10 µH,inductor_footprints:XAL5050,https://www.coilcraft.com/getmedia/49bc46c8-4b2c-45b9-9b6c-2eaa235ea698/xal50xx.pdf,INDUCTOR SMD 10 µH ±20%,Coilcraft,XAL5050-103ME,±20%,XAL5050,https://www.trustedparts.com/en/search/XAL5050-103ME,4.9,45.000
L_XAL5050-153ME,L,15 µH,inductor_footprints:XAL5050,https://www.coilcraft.com/getmedia/49bc46c8-4b2c-45b9-9b6c-2eaa235ea698/xal50xx.pdf,INDUCTOR SMD 15 µH ±20%,Coilcraft,XAL5050-153ME,±20%,XAL5050,https://www.trustedparts.com/en/search/XAL5050-153ME,3.9,76.700
L_XAL5050-223ME,L,22 µH,inductor_footprints:XAL5050,https://www.coilcraft.com/getmedia/49bc46c8-4b2c-45b9-9b6c-2eaa235ea698/xal50xx.pdf,INDUCTOR SMD 22 µH ±20%,Coilcraft,XAL5050-223ME,±20%,XAL5050,https://www.trustedparts.com/en/search/XAL5050-223ME,3.4,99.650
