Symbol Name,Reference,Value,Footprint,Datasheet,Description,Manufacturer,MPN,Tolerance,Series,Trustedparts Search,Maximum DC Current (A),Maximum DC Resistance (Ω)
L_MSD7342-823ML,L,82 µH,coupled_inductor_footprints:MSD7342,https://www.coilcraft.com/getmedia/bd00e7ca-3707-4fbb-84fc-c9b381ce0e78/msd7342.pdf,COUPLED INDUCTOR SMD 82 µH ±20%,Coilcraft,MSD7342-823ML,±20%,MSD7342,https://www.trustedparts.com/en/search/MSD7342-823ML,0.7,0.680
L_MSD7342-104ML,L,100 µH,coupled_inductor_footprints:MSD7342,https://www.coilcraft.com/getmedia/bd00e7ca-3707-4fbb-84fc-c9b381ce0e78/msd7342.pdf,COUPLED INDUCTOR SMD 100 µH ±20%,Coilcraft,MSD7342-104ML,±20%,MSD7342,https://www.trustedparts.com/en/search/MSD7342-104ML,0.6,0.770
L_MSD7342-124ML,L,120 µH,coupled_inductor_footprints:MSD7342,https://www.coilcraft.com/getmedia/bd00e7ca-3707-4fbb-84fc-c9b381ce0e78/msd7342.pdf,COUPLED INDUCTOR SMD 120 µH ±20%,Coilcraft,MSD7342-124ML,±20%,MSD7342,https://www.trustedparts.com/en/search/MSD7342-124ML,0.6,1.030
L_MSD7342-154ML,L,150 µH,coupled_inductor_footprints:MSD7342,https://www.coilcraft.com/getmedia/bd00e7ca-3707-4fbb-84fc-c9b381ce0e78/msd7342.pdf,COUPLED INDUCTOR SMD 150 µH ±20%,Coilcraft,MSD7342-154ML,±20%,MSD7342,https://www.trustedparts.com/en/search/MSD7342-154ML,0.5,1.350
L_MSD7342-184ML,L,180 µH,coupled_inductor_footprints:MSD7342,https://www.coilcraft.com/getmedia/bd00e7ca-3707-4fbb-84fc-c9b381ce0e78/msd7342.pdf,COUPLED INDUCTOR SMD 180 µH ±20%,Coilcraft,MSD7342-184ML,±20%,MSD7342,https://www.trustedparts.com/en/search/MSD7342-184ML,0.5,1.520
L_MSD7342-224ML,L,220 µH,coupled_inductor_footprints:MSD7342,https://www.coilcraft.com/getmedia/bd00e7ca-3707-4fbb-84fc-c9b381ce0e78/msd7342.pdf,COUPLED INDUCTOR SMD 220 µH ±20%,Coilcraft,MSD7342-224ML,±20%,MSD7342,https://www.trustedparts.com/en/search/MSD7342-224ML,0.4,1.720
L_MSD7342-274ML,L,270 µH,coupled_inductor_footprints:MSD7342,https://www.coilcraft.com/getmedia/bd00e7ca-3707-4fbb-84fc-c9b381ce0e78/msd7342.pdf,COUPLED INDUCTOR SMD 270 µH ±20%,Coilcraft,MSD7342-274ML,±20%,MSD7342,https://www.trustedparts.com/en/search/MSD7342-274ML,0.4,2.410
L_MSD7342-334ML,L,330 µH,coupled_inductor_footprints:MSD7342,https://www.coilcraft.com/getmedia/bd00e7ca-3707-4fbb-84fc-c9b381ce0e78/msd7342.pdf,COUPLED INDUCTOR SMD 330 µH ±20%,Coilcraft,MSD7342-334ML,±20%,MSD7342,https://www.trustedparts.com/en/search/MSD7342-334ML,0.3,2.700
L_MSD7342-394ML,L,390 µH,coupled_inductor_footprints:MSD7342,https://www.coilcraft.com/getmedia/bd00e7ca-3707-4fbb-84fc-c9b381ce0e78/msd7342.pdf,COUPLED INDUCTOR SMD 390 µH ±20%,Coilcraft,MSD7342-394ML,±20%,MSD7342,https://www.trustedparts.com/en/search/MSD7342-394ML,0.3,3.050
L_MSD7342-474ML,L,470 µH,coupled_inductor_footprints:MSD7342,https://www.coilcraft.com/getmedia/bd00e7ca-3707-4fbb-84fc-c9b381ce0e78/msd7342.pdf,COUPLED INDUCTOR SMD 470 µH ±20%,Coilcraft,MSD7342-474ML,±20%,MSD7342,https://www.trustedparts.com/en/search/MSD7342-474ML,0.3,4.000
L_MSD7342-564ML,L,560 µH,coupled_inductor_footprints:MSD7342,https://www.coilcraft.com/getmedia/bd00e7ca-3707-4fbb-84fc-c9b381ce0e78/msd7342.pdf,COUPLED INDUCTOR SMD 560 µH ±20%,Coilcraft,MSD7342-564ML,±20%,MSD7342,https://www.trustedparts.com/en/search/MSD7342-564ML,0.3,4.430
L_MSD7342-684ML,L,680 µH,coupled_inductor_footprints:MSD7342,https://www.coilcraft.com/getmedia/bd00e7ca-3707-4fbb-84fc-c9b381ce0e78/msd7342.pdf,COUPLED INDUCTOR SMD 680 µH ±20%,Coilcraft,MSD7342-684ML,±20%,MSD7342,https://www.trustedparts.com/en/search/MSD7342-684ML,0.2,5.000
L_MSD7342-824ML,L,820 µH,coupled_inductor_footprints:MSD7342,https://www.coilcraft.com/getmedia/bd00e7ca-3707-4fbb-84fc-c9b381ce0e78/msd7342.pdf,COUPLED INDUCTOR SMD 820 µH ±20%,Coilcraft,MSD7342-824ML,±20%,MSD7342,https://www.trustedparts.com/en/search/MSD7342-824ML,0.2,6.800
L_MSD7342-105ML,L,1000 µH,coupled_inductor_footprints:MSD7342,https://www.coilcraft.com/getmedia/bd00e7ca-3707-4fbb-84fc-c9b381ce0e78/msd7342.pdf,COUPLED INDUCTOR SMD 1000 µH ±20%,Coilcraft,MSD7342-105ML,±20%,MSD7342,https://www.trustedparts.com/en/search/MSD7342-105ML,0.2,7.800
