Symbol Name,Reference,Value,Footprint,Datasheet,Description,Manufacturer,MPN,Tolerance,Temperature Coefficient,Voltage Rating,Case Code - in,Case Code - mm,Series,Trustedparts Search
R_RT2010FKE071R5L,R,1.5 Ω,resistor_footprints:R_2010_5025Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RT2010FKE071R5L,RES SMD 1.5 Ω 1% 2010 200V,Yageo,RT2010FKE071R5L,1%,50 ppm/°C,200V,2010,5025,RT2010FKE07,https://www.trustedparts.com/en/search/RT2010FKE071R5L
R_RT2010FKE071R54L,R,1.54 Ω,resistor_footprints:R_2010_5025Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RT2010FKE071R54L,RES SMD 1.54 Ω 1% 2010 200V,Yageo,RT2010FKE071R54L,1%,50 ppm/°C,200V,2010,5025,RT2010FKE07,https://www.trustedparts.com/en/search/RT2010FKE071R54L
R_RT2010FKE071R58L,R,1.58 Ω,resistor_footprints:R_2010_5025Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RT2010FKE071R58L,RES SMD 1.58 Ω 1% 2010 200V,Yageo,RT2010FKE071R58L,1%,50 ppm/°C,200V,2010,5025,RT2010FKE07,https://www.trustedparts.com/en/search/RT2010FKE071R58L
R_RT2010FKE071R6L,R,1.6 Ω,resistor_footprints:R_2010_5025Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RT2010FKE071R6L,RES SMD 1.6 Ω 1% 2010 200V,Yageo,RT2010FKE071R6L,1%,50 ppm/°C,200V,2010,5025,RT2010FKE07,https://www.trustedparts.com/en/search/RT2010FKE071R6L
R_RT2010FKE071R62L,R,1.62 Ω,resistor_footprints:R_2010_5025Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RT2010FKE071R62L,RES SMD 1.62 Ω 1% 2010 200V,Yageo,RT2010FKE071R62L,1%,50 ppm/°C,200V,2010,5025,RT2010FKE07,https://www.trustedparts.com/en/search/RT2010FKE071R62L
R_RT2010FKE071R65L,R,1.65 Ω,resistor_footprints:R_2010_5025Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RT2010FKE071R65L,RES SMD 1.65 Ω 1% 2010 200V,Yageo,RT2010FKE071R65L,1%,50 ppm/°C,200V,2010,5025,RT2010FKE07,https://www.trustedparts.com/en/search/RT2010FKE071R65L
R_RT2010FKE071R69L,R,1.69 Ω,resistor_footprints:R_2010_5025Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RT2010FKE071R69L,RES SMD 1.69 Ω 1% 2010 200V,Yageo,RT2010FKE071R69L,1%,50 ppm/°C,200V,2010,5025,RT2010FKE07,https://www.trustedparts.com/en/search/RT2010FKE071R69L
R_RT2010FKE071R74L,R,1.74 Ω,resistor_footprints:R_2010_5025Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RT2010FKE071R74L,RES SMD 1.74 Ω 1% 2010 200V,Yageo,RT2010FKE071R74L,1%,50 ppm/°C,200V,2010,5025,RT2010FKE07,https://www.trustedparts.com/en/search/RT2010FKE071R74L
R_RT2010FKE071R78L,R,1.78 Ω,resistor_footprints:R_2010_5025Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RT2010FKE071R78L,RES SMD 1.78 Ω 1% 2010 200V,Yageo,RT2010FKE071R78L,1%,50 ppm/°C,200V,2010,5025,RT2010FKE07,https://www.trustedparts.com/en/search/RT2010FKE071R78L
R_RT2010FKE071R8L,R,1.8 Ω,resistor_footprints:R_2010_5025Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RT2010FKE071R8L,RES SMD 1.8 Ω 1% 2010 200V,Yageo,RT2010FKE071R8L,1%,50 ppm/°C,200V,2010,5025,RT2010FKE07,https://www.trustedparts.com/en/search/RT2010FKE071R8L
