Symbol Name,Reference,Value,Footprint,Datasheet,Description,Manufacturer,MPN,Tolerance,Series,Trustedparts Search,Maximum DC Current (A),Maximum DC Resistance (Ω)
L_XAL1060-181ME,L,180 nH,inductor_footprints:XAL1060,https://www.coilcraft.com/getmedia/8909f858-b441-4d60-acff-8b8ca36f9ede/xal1060.pdf,INDUCTOR SMD 180 nH ±20%,Coilcraft,XAL1060-181ME,±20%,XAL1060,https://www.trustedparts.com/en/search/XAL1060-181ME,46.0,0.550
L_XAL1060-401ME,L,400 nH,inductor_footprints:XAL1060,https://www.coilcraft.com/getmedia/8909f858-b441-4d60-acff-8b8ca36f9ede/xal1060.pdf,INDUCTOR SMD 400 nH ±20%,Coilcraft,XAL1060-401ME,±20%,XAL1060,https://www.trustedparts.com/en/search/XAL1060-401ME,36.8,0.880
L_XAL1060-681ME,L,680 nH,inductor_footprints:XAL1060,https://www.coilcraft.com/getmedia/8909f858-b441-4d60-acff-8b8ca36f9ede/xal1060.pdf,INDUCTOR SMD 680 nH ±20%,Coilcraft,XAL1060-681ME,±20%,XAL1060,https://www.trustedparts.com/en/search/XAL1060-681ME,33.9,1.500
L_XAL1060-122ME,L,1.2 µH,inductor_footprints:XAL1060,https://www.coilcraft.com/getmedia/8909f858-b441-4d60-acff-8b8ca36f9ede/xal1060.pdf,INDUCTOR SMD 1.2 µH ±20%,Coilcraft,XAL1060-122ME,±20%,XAL1060,https://www.trustedparts.com/en/search/XAL1060-122ME,26.3,2.750
L_XAL1060-152ME,L,1.5 µH,inductor_footprints:XAL1060,https://www.coilcraft.com/getmedia/8909f858-b441-4d60-acff-8b8ca36f9ede/xal1060.pdf,INDUCTOR SMD 1.5 µH ±20%,Coilcraft,XAL1060-152ME,±20%,XAL1060,https://www.trustedparts.com/en/search/XAL1060-152ME,24.4,3.300
L_XAL1060-222ME,L,2.2 µH,inductor_footprints:XAL1060,https://www.coilcraft.com/getmedia/8909f858-b441-4d60-acff-8b8ca36f9ede/xal1060.pdf,INDUCTOR SMD 2.2 µH ±20%,Coilcraft,XAL1060-222ME,±20%,XAL1060,https://www.trustedparts.com/en/search/XAL1060-222ME,20.0,4.950
L_XAL1060-332ME,L,3.3 µH,inductor_footprints:XAL1060,https://www.coilcraft.com/getmedia/8909f858-b441-4d60-acff-8b8ca36f9ede/xal1060.pdf,INDUCTOR SMD 3.3 µH ±20%,Coilcraft,XAL1060-332ME,±20%,XAL1060,https://www.trustedparts.com/en/search/XAL1060-332ME,16.8,7.920
L_XAL1060-472ME,L,4.7 µH,inductor_footprints:XAL1060,https://www.coilcraft.com/getmedia/8909f858-b441-4d60-acff-8b8ca36f9ede/xal1060.pdf,INDUCTOR SMD 4.7 µH ±20%,Coilcraft,XAL1060-472ME,±20%,XAL1060,https://www.trustedparts.com/en/search/XAL1060-472ME,14.0,10.720
