Symbol Name,Reference,Value,Footprint,Datasheet,Description,Manufacturer,MPN,Dielectric,Tolerance,Voltage Rating,Case Code - in,Case Code - mm,Series,Trustedparts Search,Capacitor Type,3dviewer Link
C_GCM188R71H272KA37J,C,2.7 nF,capacitor_footprints:C_0603_1608Metric,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GCM188R71H272KA37-01.pdf,CAP SMD 2.7 nF X7R 10% 0603 50V,Murata Electronics,GCM188R71H272KA37J,X7R,10%,50V,0603,1608,GCM188R71H,https://www.trustedparts.com/en/search/GCM188R71H272KA37J,Ceramic,https://3dviewer.net/index.html#model=https://github.com/ionutms/KiCAD_Symbols_Generator/blob/main/3D_models/C_0603.step
C_GCM188R71H332KA37D,C,3.3 nF,capacitor_footprints:C_0603_1608Metric,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GCM188R71H332KA37-01.pdf,CAP SMD 3.3 nF X7R 10% 0603 50V,Murata Electronics,GCM188R71H332KA37D,X7R,10%,50V,0603,1608,GCM188R71H,https://www.trustedparts.com/en/search/GCM188R71H332KA37D,Ceramic,https://3dviewer.net/index.html#model=https://github.com/ionutms/KiCAD_Symbols_Generator/blob/main/3D_models/C_0603.step
C_GCM188R71H332KA37J,C,3.3 nF,capacitor_footprints:C_0603_1608Metric,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GCM188R71H332KA37-01.pdf,CAP SMD 3.3 nF X7R 10% 0603 50V,Murata Electronics,GCM188R71H332KA37J,X7R,10%,50V,0603,1608,GCM188R71H,https://www.trustedparts.com/en/search/GCM188R71H332KA37J,Ceramic,https://3dviewer.net/index.html#model=https://github.com/ionutms/KiCAD_Symbols_Generator/blob/main/3D_models/C_0603.step
C_GCM188R71H392KA37D,C,3.9 nF,capacitor_footprints:C_0603_1608Metric,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GCM188R71H392KA37-01.pdf,CAP SMD 3.9 nF X7R 10% 0603 50V,Murata Electronics,GCM188R71H392KA37D,X7R,10%,50V,0603,1608,GCM188R71H,https://www.trustedparts.com/en/search/GCM188R71H392KA37D,Ceramic,https://3dviewer.net/index.html#model=https://github.com/ionutms/KiCAD_Symbols_Generator/blob/main/3D_models/C_0603.step
C_GCM188R71H392KA37J,C,3.9 nF,capacitor_footprints:C_0603_1608Metric,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GCM188R71H392KA37-01.pdf,CAP SMD 3.9 nF X7R 10% 0603 50V,Murata Electronics,GCM188R71H392KA37J,X7R,10%,50V,0603,1608,GCM188R71H,https://www.trustedparts.com/en/search/GCM188R71H392KA37J,Ceramic,https://3dviewer.net/index.html#model=https://github.com/ionutms/KiCAD_Symbols_Generator/blob/main/3D_models/C_0603.step
C_GCM188R71H472KA37D,C,4.7 nF,capacitor_footprints:C_0603_1608Metric,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GCM188R71H472KA37-01.pdf,CAP SMD 4.7 nF X7R 10% 0603 50V,Murata Electronics,GCM188R71H472KA37D,X7R,10%,50V,0603,1608,GCM188R71H,https://www.trustedparts.com/en/search/GCM188R71H472KA37D,Ceramic,https://3dviewer.net/index.html#model=https://github.com/ionutms/KiCAD_Symbols_Generator/blob/main/3D_models/C_0603.step
C_GCM188R71H472KA37J,C,4.7 nF,capacitor_footprints:C_0603_1608Metric,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GCM188R71H472KA37-01.pdf,CAP SMD 4.7 nF X7R 10% 0603 50V,Murata Electronics,GCM188R71H472KA37J,X7R,10%,50V,0603,1608,GCM188R71H,https://www.trustedparts.com/en/search/GCM188R71H472KA37J,Ceramic,https://3dviewer.net/index.html#model=https://github.com/ionutms/KiCAD_Symbols_Generator/blob/main/3D_models/C_0603.step
C_GCM188R71H562KA37D,C,5.6 nF,capacitor_footprints:C_0603_1608Metric,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GCM188R71H562KA37-01.pdf,CAP SMD 5.6 nF X7R 10% 0603 50V,Murata Electronics,GCM188R71H562KA37D,X7R,10%,50V,0603,1608,GCM188R71H,https://www.trustedparts.com/en/search/GCM188R71H562KA37D,Ceramic,https://3dviewer.net/index.html#model=https://github.com/ionutms/KiCAD_Symbols_Generator/blob/main/3D_models/C_0603.step
C_GCM188R71H562KA37J,C,5.6 nF,capacitor_footprints:C_0603_1608Metric,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GCM188R71H562KA37-01.pdf,CAP SMD 5.6 nF X7R 10% 0603 50V,Murata Electronics,GCM188R71H562KA37J,X7R,10%,50V,0603,1608,GCM188R71H,https://www.trustedparts.com/en/search/GCM188R71H562KA37J,Ceramic,https://3dviewer.net/index.html#model=https://github.com/ionutms/KiCAD_Symbols_Generator/blob/main/3D_models/C_0603.step
C_GCM188R71H682KA37D,C,6.8 nF,capacitor_footprints:C_0603_1608Metric,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GCM188R71H682KA37-01.pdf,CAP SMD 6.8 nF X7R 10% 0603 50V,Murata Electronics,GCM188R71H682KA37D,X7R,10%,50V,0603,1608,GCM188R71H,https://www.trustedparts.com/en/search/GCM188R71H682KA37D,Ceramic,https://3dviewer.net/index.html#model=https://github.com/ionutms/KiCAD_Symbols_Generator/blob/main/3D_models/C_0603.step
