Symbol Name,Reference,Value,Footprint,Datasheet,Description,Manufacturer,MPN,Tolerance,Series,Trustedparts Search,Maximum DC Current (A),Maximum DC Resistance (mΩ)
L_74437529203220,L,22.0 µH,inductor_footprints:74437529203,https://www.we-online.com/components/products/datasheet/220.pdf,INDUCTOR SMD 22.0 µH ±20%,Wurth Elektronik,74437529203220,±20%,74437529203,https://www.trustedparts.com/en/search/74437529203220,24.05,5.39
L_74437529203330,L,33.0 µH,inductor_footprints:74437529203,https://www.we-online.com/components/products/datasheet/330.pdf,INDUCTOR SMD 33.0 µH ±20%,Wurth Elektronik,74437529203330,±20%,74437529203,https://www.trustedparts.com/en/search/74437529203330,20.05,7.59
L_74437529203470,L,47.0 µH,inductor_footprints:74437529203,https://www.we-online.com/components/products/datasheet/470.pdf,INDUCTOR SMD 47.0 µH ±20%,Wurth Elektronik,74437529203470,±20%,74437529203,https://www.trustedparts.com/en/search/74437529203470,17.5,9.68
L_74437529203680,L,68.0 µH,inductor_footprints:74437529203,https://www.we-online.com/components/products/datasheet/680.pdf,INDUCTOR SMD 68.0 µH ±20%,Wurth Elektronik,74437529203680,±20%,74437529203,https://www.trustedparts.com/en/search/74437529203680,16.0,11.33
L_74437529203101,L,100.0 µH,inductor_footprints:74437529203,https://www.we-online.com/components/products/datasheet/101.pdf,INDUCTOR SMD 100.0 µH ±20%,Wurth Elektronik,74437529203101,±20%,74437529203,https://www.trustedparts.com/en/search/74437529203101,10.5,25.19
L_74437529203151,L,150.0 µH,inductor_footprints:74437529203,https://www.we-online.com/components/products/datasheet/151.pdf,INDUCTOR SMD 150.0 µH ±20%,Wurth Elektronik,74437529203151,±20%,74437529203,https://www.trustedparts.com/en/search/74437529203151,9.0,33.66
L_74437529203221,L,220.0 µH,inductor_footprints:74437529203,https://www.we-online.com/components/products/datasheet/221.pdf,INDUCTOR SMD 220.0 µH ±20%,Wurth Elektronik,74437529203221,±20%,74437529203,https://www.trustedparts.com/en/search/74437529203221,8.15,40.1
L_74437529203331,L,330.0 µH,inductor_footprints:74437529203,https://www.we-online.com/components/products/datasheet/331.pdf,INDUCTOR SMD 330.0 µH ±20%,Wurth Elektronik,74437529203331,±20%,74437529203,https://www.trustedparts.com/en/search/74437529203331,5.75,77.5
L_74437529203471,L,470.0 µH,inductor_footprints:74437529203,https://www.we-online.com/components/products/datasheet/471.pdf,INDUCTOR SMD 470.0 µH ±20%,Wurth Elektronik,74437529203471,±20%,74437529203,https://www.trustedparts.com/en/search/74437529203471,5.2,91.8
L_74437529203681,L,680.0 µH,inductor_footprints:74437529203,https://www.we-online.com/components/products/datasheet/681.pdf,INDUCTOR SMD 680.0 µH ±20%,Wurth Elektronik,74437529203681,±20%,74437529203,https://www.trustedparts.com/en/search/74437529203681,4.3,130.13
