Symbol Name,Reference,Value,Footprint,Datasheet,Description,Manufacturer,MPN,Tolerance,Series,Trustedparts Search,Maximum DC Current (A),Maximum DC Resistance (mΩ)
L_74439369010,L,1.0 µH,inductor_footprints:74439369,https://www.we-online.com/components/products/datasheet/010.pdf,INDUCTOR SMD 1.0 µH ±20%,Wurth Elektronik,74439369010,±20%,74439369,https://www.trustedparts.com/en/search/74439369010,48.2,1.61
L_74439369015,L,1.5 µH,inductor_footprints:74439369,https://www.we-online.com/components/products/datasheet/015.pdf,INDUCTOR SMD 1.5 µH ±20%,Wurth Elektronik,74439369015,±20%,74439369,https://www.trustedparts.com/en/search/74439369015,40.6,1.76
L_74439369022,L,2.2 µH,inductor_footprints:74439369,https://www.we-online.com/components/products/datasheet/022.pdf,INDUCTOR SMD 2.2 µH ±20%,Wurth Elektronik,74439369022,±20%,74439369,https://www.trustedparts.com/en/search/74439369022,32.05,2.42
L_74439369033,L,3.3 µH,inductor_footprints:74439369,https://www.we-online.com/components/products/datasheet/033.pdf,INDUCTOR SMD 3.3 µH ±20%,Wurth Elektronik,74439369033,±20%,74439369,https://www.trustedparts.com/en/search/74439369033,24.95,3.74
L_74439369047,L,4.7 µH,inductor_footprints:74439369,https://www.we-online.com/components/products/datasheet/047.pdf,INDUCTOR SMD 4.7 µH ±20%,Wurth Elektronik,74439369047,±20%,74439369,https://www.trustedparts.com/en/search/74439369047,20.0,5.5
L_74439369056,L,5.6 µH,inductor_footprints:74439369,https://www.we-online.com/components/products/datasheet/056.pdf,INDUCTOR SMD 5.6 µH ±20%,Wurth Elektronik,74439369056,±20%,74439369,https://www.trustedparts.com/en/search/74439369056,18.15,6.49
L_74439369068,L,6.8 µH,inductor_footprints:74439369,https://www.we-online.com/components/products/datasheet/068.pdf,INDUCTOR SMD 6.8 µH ±20%,Wurth Elektronik,74439369068,±20%,74439369,https://www.trustedparts.com/en/search/74439369068,16.3,7.88
L_74439369082,L,8.2 µH,inductor_footprints:74439369,https://www.we-online.com/components/products/datasheet/082.pdf,INDUCTOR SMD 8.2 µH ±20%,Wurth Elektronik,74439369082,±20%,74439369,https://www.trustedparts.com/en/search/74439369082,13.4,11.0
L_74439369100,L,10.0 µH,inductor_footprints:74439369,https://www.we-online.com/components/products/datasheet/100.pdf,INDUCTOR SMD 10.0 µH ±20%,Wurth Elektronik,74439369100,±20%,74439369,https://www.trustedparts.com/en/search/74439369100,12.7,12.1
L_74439369150,L,15.0 µH,inductor_footprints:74439369,https://www.we-online.com/components/products/datasheet/150.pdf,INDUCTOR SMD 15.0 µH ±20%,Wurth Elektronik,74439369150,±20%,74439369,https://www.trustedparts.com/en/search/74439369150,10.75,16.28
L_74439369220,L,22.0 µH,inductor_footprints:74439369,https://www.we-online.com/components/products/datasheet/220.pdf,INDUCTOR SMD 22.0 µH ±20%,Wurth Elektronik,74439369220,±20%,74439369,https://www.trustedparts.com/en/search/74439369220,9.7,23.65
L_74439369330,L,33.0 µH,inductor_footprints:74439369,https://www.we-online.com/components/products/datasheet/330.pdf,INDUCTOR SMD 33.0 µH ±20%,Wurth Elektronik,74439369330,±20%,74439369,https://www.trustedparts.com/en/search/74439369330,7.1,39.6
