Symbol Name,Reference,Value,Footprint,Datasheet,Description,Manufacturer,MPN,Dielectric,Tolerance,Voltage Rating,Case Code - in,Case Code - mm,Series,Trustedparts Search,Capacitor Type,3dviewer Link
C_GCM1555C1H5R0FA16D,C,5 pF,capacitor_footprints:C_0402_1005Metric,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GCM1555C1H5R0FA16-01.pdf,CAP SMD 5 pF C0G (NP0) 1% 0402 50V,Murata Electronics,GCM1555C1H5R0FA16D,C0G (NP0),1%,50V,0402,1005,GCM1555C1H,https://www.trustedparts.com/en/search/GCM1555C1H5R0FA16D,Ceramic,https://3dviewer.net/index.html#model=https://github.com/ionutms/KiCAD_Symbols_Generator/blob/main/3D_models/C_0402.step
C_GCM1555C1H5R0FA16J,C,5 pF,capacitor_footprints:C_0402_1005Metric,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GCM1555C1H5R0FA16-01.pdf,CAP SMD 5 pF C0G (NP0) 1% 0402 50V,Murata Electronics,GCM1555C1H5R0FA16J,C0G (NP0),1%,50V,0402,1005,GCM1555C1H,https://www.trustedparts.com/en/search/GCM1555C1H5R0FA16J,Ceramic,https://3dviewer.net/index.html#model=https://github.com/ionutms/KiCAD_Symbols_Generator/blob/main/3D_models/C_0402.step
C_GCM1555C1H5R1FA16D,C,5.1 pF,capacitor_footprints:C_0402_1005Metric,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GCM1555C1H5R1FA16-01.pdf,CAP SMD 5.1 pF C0G (NP0) 1% 0402 50V,Murata Electronics,GCM1555C1H5R1FA16D,C0G (NP0),1%,50V,0402,1005,GCM1555C1H,https://www.trustedparts.com/en/search/GCM1555C1H5R1FA16D,Ceramic,https://3dviewer.net/index.html#model=https://github.com/ionutms/KiCAD_Symbols_Generator/blob/main/3D_models/C_0402.step
C_GCM1555C1H5R1FA16J,C,5.1 pF,capacitor_footprints:C_0402_1005Metric,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GCM1555C1H5R1FA16-01.pdf,CAP SMD 5.1 pF C0G (NP0) 1% 0402 50V,Murata Electronics,GCM1555C1H5R1FA16J,C0G (NP0),1%,50V,0402,1005,GCM1555C1H,https://www.trustedparts.com/en/search/GCM1555C1H5R1FA16J,Ceramic,https://3dviewer.net/index.html#model=https://github.com/ionutms/KiCAD_Symbols_Generator/blob/main/3D_models/C_0402.step
C_GCM1555C1H6R0FA16D,C,6 pF,capacitor_footprints:C_0402_1005Metric,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GCM1555C1H6R0FA16-01.pdf,CAP SMD 6 pF C0G (NP0) 1% 0402 50V,Murata Electronics,GCM1555C1H6R0FA16D,C0G (NP0),1%,50V,0402,1005,GCM1555C1H,https://www.trustedparts.com/en/search/GCM1555C1H6R0FA16D,Ceramic,https://3dviewer.net/index.html#model=https://github.com/ionutms/KiCAD_Symbols_Generator/blob/main/3D_models/C_0402.step
C_GCM1555C1H6R0FA16J,C,6 pF,capacitor_footprints:C_0402_1005Metric,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GCM1555C1H6R0FA16-01.pdf,CAP SMD 6 pF C0G (NP0) 1% 0402 50V,Murata Electronics,GCM1555C1H6R0FA16J,C0G (NP0),1%,50V,0402,1005,GCM1555C1H,https://www.trustedparts.com/en/search/GCM1555C1H6R0FA16J,Ceramic,https://3dviewer.net/index.html#model=https://github.com/ionutms/KiCAD_Symbols_Generator/blob/main/3D_models/C_0402.step
C_GCM1555C1H6R8FA16D,C,6.8 pF,capacitor_footprints:C_0402_1005Metric,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GCM1555C1H6R8FA16-01.pdf,CAP SMD 6.8 pF C0G (NP0) 1% 0402 50V,Murata Electronics,GCM1555C1H6R8FA16D,C0G (NP0),1%,50V,0402,1005,GCM1555C1H,https://www.trustedparts.com/en/search/GCM1555C1H6R8FA16D,Ceramic,https://3dviewer.net/index.html#model=https://github.com/ionutms/KiCAD_Symbols_Generator/blob/main/3D_models/C_0402.step
C_GCM1555C1H6R8FA16J,C,6.8 pF,capacitor_footprints:C_0402_1005Metric,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GCM1555C1H6R8FA16-01.pdf,CAP SMD 6.8 pF C0G (NP0) 1% 0402 50V,Murata Electronics,GCM1555C1H6R8FA16J,C0G (NP0),1%,50V,0402,1005,GCM1555C1H,https://www.trustedparts.com/en/search/GCM1555C1H6R8FA16J,Ceramic,https://3dviewer.net/index.html#model=https://github.com/ionutms/KiCAD_Symbols_Generator/blob/main/3D_models/C_0402.step
C_GCM1555C1H7R0FA16D,C,7 pF,capacitor_footprints:C_0402_1005Metric,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GCM1555C1H7R0FA16-01.pdf,CAP SMD 7 pF C0G (NP0) 1% 0402 50V,Murata Electronics,GCM1555C1H7R0FA16D,C0G (NP0),1%,50V,0402,1005,GCM1555C1H,https://www.trustedparts.com/en/search/GCM1555C1H7R0FA16D,Ceramic,https://3dviewer.net/index.html#model=https://github.com/ionutms/KiCAD_Symbols_Generator/blob/main/3D_models/C_0402.step
C_GCM1555C1H7R0FA16J,C,7 pF,capacitor_footprints:C_0402_1005Metric,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GCM1555C1H7R0FA16-01.pdf,CAP SMD 7 pF C0G (NP0) 1% 0402 50V,Murata Electronics,GCM1555C1H7R0FA16J,C0G (NP0),1%,50V,0402,1005,GCM1555C1H,https://www.trustedparts.com/en/search/GCM1555C1H7R0FA16J,Ceramic,https://3dviewer.net/index.html#model=https://github.com/ionutms/KiCAD_Symbols_Generator/blob/main/3D_models/C_0402.step
