Symbol Name,Reference,Value,Footprint,Datasheet,Description,Manufacturer,MPN,Series,Trustedparts Search,Maximum DC Current (A),Diode Type
D_BZX384-A22,D,22 V,diode_footprints:SOD323,https://assets.nexperia.com/documents/data-sheet/BZX384_SER.pdf,Zener SMD 22 V,Nexperia,BZX384-A22,BZX384-A,https://www.trustedparts.com/en/search/BZX384-A22,0.0,Zener
D_BZX384-A24,D,24 V,diode_footprints:SOD323,https://assets.nexperia.com/documents/data-sheet/BZX384_SER.pdf,Zener SMD 24 V,Nexperia,BZX384-A24,BZX384-A,https://www.trustedparts.com/en/search/BZX384-A24,0.0,Zener
D_BZX384-A27,D,27 V,diode_footprints:SOD323,https://assets.nexperia.com/documents/data-sheet/BZX384_SER.pdf,Zener SMD 27 V,Nexperia,BZX384-A27,BZX384-A,https://www.trustedparts.com/en/search/BZX384-A27,0.0,Zener
D_BZX384-A30,D,30 V,diode_footprints:SOD323,https://assets.nexperia.com/documents/data-sheet/BZX384_SER.pdf,Zener SMD 30 V,Nexperia,BZX384-A30,BZX384-A,https://www.trustedparts.com/en/search/BZX384-A30,0.0,Zener
D_BZX384-A33,D,33 V,diode_footprints:SOD323,https://assets.nexperia.com/documents/data-sheet/BZX384_SER.pdf,Zener SMD 33 V,Nexperia,BZX384-A33,BZX384-A,https://www.trustedparts.com/en/search/BZX384-A33,0.0,Zener
D_BZX384-A36,D,36 V,diode_footprints:SOD323,https://assets.nexperia.com/documents/data-sheet/BZX384_SER.pdf,Zener SMD 36 V,Nexperia,BZX384-A36,BZX384-A,https://www.trustedparts.com/en/search/BZX384-A36,0.0,Zener
D_BZX384-A39,D,39 V,diode_footprints:SOD323,https://assets.nexperia.com/documents/data-sheet/BZX384_SER.pdf,Zener SMD 39 V,Nexperia,BZX384-A39,BZX384-A,https://www.trustedparts.com/en/search/BZX384-A39,0.0,Zener
D_BZX384-A43,D,43 V,diode_footprints:SOD323,https://assets.nexperia.com/documents/data-sheet/BZX384_SER.pdf,Zener SMD 43 V,Nexperia,BZX384-A43,BZX384-A,https://www.trustedparts.com/en/search/BZX384-A43,0.0,Zener
D_BZX384-A47,D,47 V,diode_footprints:SOD323,https://assets.nexperia.com/documents/data-sheet/BZX384_SER.pdf,Zener SMD 47 V,Nexperia,BZX384-A47,BZX384-A,https://www.trustedparts.com/en/search/BZX384-A47,0.0,Zener
D_BZX384-A51,D,51 V,diode_footprints:SOD323,https://assets.nexperia.com/documents/data-sheet/BZX384_SER.pdf,Zener SMD 51 V,Nexperia,BZX384-A51,BZX384-A,https://www.trustedparts.com/en/search/BZX384-A51,0.0,Zener
D_BZX384-A56,D,56 V,diode_footprints:SOD323,https://assets.nexperia.com/documents/data-sheet/BZX384_SER.pdf,Zener SMD 56 V,Nexperia,BZX384-A56,BZX384-A,https://www.trustedparts.com/en/search/BZX384-A56,0.0,Zener
D_BZX384-A62,D,62 V,diode_footprints:SOD323,https://assets.nexperia.com/documents/data-sheet/BZX384_SER.pdf,Zener SMD 62 V,Nexperia,BZX384-A62,BZX384-A,https://www.trustedparts.com/en/search/BZX384-A62,0.0,Zener
D_BZX384-A68,D,68 V,diode_footprints:SOD323,https://assets.nexperia.com/documents/data-sheet/BZX384_SER.pdf,Zener SMD 68 V,Nexperia,BZX384-A68,BZX384-A,https://www.trustedparts.com/en/search/BZX384-A68,0.0,Zener
D_BZX384-A75,D,75 V,diode_footprints:SOD323,https://assets.nexperia.com/documents/data-sheet/BZX384_SER.pdf,Zener SMD 75 V,Nexperia,BZX384-A75,BZX384-A,https://www.trustedparts.com/en/search/BZX384-A75,0.0,Zener
