Symbol Name,Reference,Value,Footprint,Datasheet,Description,Manufacturer,MPN,Tolerance,Series,Trustedparts Search,Maximum DC Current (A),Maximum DC Resistance (mΩ)
L_7443642010100,L,1.0 µH,inductor_footprints:7443642010,https://www.we-online.com/components/products/datasheet/100.pdf,INDUCTOR SMD 1.0 µH ±20%,Wurth Elektronik,7443642010100,±20%,7443642010,https://www.trustedparts.com/en/search/7443642010100,50.3,0.92
L_7443642010120,L,1.2 µH,inductor_footprints:7443642010,https://www.we-online.com/components/products/datasheet/120.pdf,INDUCTOR SMD 1.2 µH ±20%,Wurth Elektronik,7443642010120,±20%,7443642010,https://www.trustedparts.com/en/search/7443642010120,50.3,0.92
L_7443642010200,L,2.0 µH,inductor_footprints:7443642010,https://www.we-online.com/components/products/datasheet/200.pdf,INDUCTOR SMD 2.0 µH ±20%,Wurth Elektronik,7443642010200,±20%,7443642010,https://www.trustedparts.com/en/search/7443642010200,50.3,0.92
