Symbol Name,Reference,Value,Footprint,Datasheet,Description,Manufacturer,MPN,Tolerance,Series,Trustedparts Search,Maximum DC Current (A),Maximum DC Resistance (mΩ)
L_7443739650022,L,220 nH,inductor_footprints:744373965,https://www.we-online.com/components/products/datasheet/0022.pdf,INDUCTOR SMD 220 nH ±20%,Wurth Elektronik,7443739650022,±20%,744373965,https://www.trustedparts.com/en/search/7443739650022,54.9,0.6
L_7443739650033,L,330 nH,inductor_footprints:744373965,https://www.we-online.com/components/products/datasheet/0033.pdf,INDUCTOR SMD 330 nH ±20%,Wurth Elektronik,7443739650033,±20%,744373965,https://www.trustedparts.com/en/search/7443739650033,49.0,0.8
L_7443739650047,L,470 nH,inductor_footprints:744373965,https://www.we-online.com/components/products/datasheet/0047.pdf,INDUCTOR SMD 470 nH ±20%,Wurth Elektronik,7443739650047,±20%,744373965,https://www.trustedparts.com/en/search/7443739650047,40.7,1.2
L_7443739650056,L,560 nH,inductor_footprints:744373965,https://www.we-online.com/components/products/datasheet/0056.pdf,INDUCTOR SMD 560 nH ±20%,Wurth Elektronik,7443739650056,±20%,744373965,https://www.trustedparts.com/en/search/7443739650056,37.1,1.2
L_7443739650068,L,680 nH,inductor_footprints:744373965,https://www.we-online.com/components/products/datasheet/0068.pdf,INDUCTOR SMD 680 nH ±20%,Wurth Elektronik,7443739650068,±20%,744373965,https://www.trustedparts.com/en/search/7443739650068,35.6,1.5
L_744373965010,L,1.0 µH,inductor_footprints:744373965,https://www.we-online.com/components/products/datasheet/010.pdf,INDUCTOR SMD 1.0 µH ±20%,Wurth Elektronik,744373965010,±20%,744373965,https://www.trustedparts.com/en/search/744373965010,28.2,2.3
L_744373965015,L,1.5 µH,inductor_footprints:744373965,https://www.we-online.com/components/products/datasheet/015.pdf,INDUCTOR SMD 1.5 µH ±20%,Wurth Elektronik,744373965015,±20%,744373965,https://www.trustedparts.com/en/search/744373965015,25.7,3.0
L_744373965022,L,2.2 µH,inductor_footprints:744373965,https://www.we-online.com/components/products/datasheet/022.pdf,INDUCTOR SMD 2.2 µH ±20%,Wurth Elektronik,744373965022,±20%,744373965,https://www.trustedparts.com/en/search/744373965022,21.6,4.2
L_744373965033,L,3.3 µH,inductor_footprints:744373965,https://www.we-online.com/components/products/datasheet/033.pdf,INDUCTOR SMD 3.3 µH ±20%,Wurth Elektronik,744373965033,±20%,744373965,https://www.trustedparts.com/en/search/744373965033,16.2,6.8
L_744373965047,L,4.7 µH,inductor_footprints:744373965,https://www.we-online.com/components/products/datasheet/047.pdf,INDUCTOR SMD 4.7 µH ±20%,Wurth Elektronik,744373965047,±20%,744373965,https://www.trustedparts.com/en/search/744373965047,15.1,8.4
L_744373965056,L,5.6 µH,inductor_footprints:744373965,https://www.we-online.com/components/products/datasheet/056.pdf,INDUCTOR SMD 5.6 µH ±20%,Wurth Elektronik,744373965056,±20%,744373965,https://www.trustedparts.com/en/search/744373965056,13.3,10.0
L_744373965068,L,6.8 µH,inductor_footprints:744373965,https://www.we-online.com/components/products/datasheet/068.pdf,INDUCTOR SMD 6.8 µH ±20%,Wurth Elektronik,744373965068,±20%,744373965,https://www.trustedparts.com/en/search/744373965068,12.7,11.6
L_744373965100,L,10.0 µH,inductor_footprints:744373965,https://www.we-online.com/components/products/datasheet/100.pdf,INDUCTOR SMD 10.0 µH ±20%,Wurth Elektronik,744373965100,±20%,744373965,https://www.trustedparts.com/en/search/744373965100,11.8,16.5
L_744373965120,L,12.0 µH,inductor_footprints:744373965,https://www.we-online.com/components/products/datasheet/120.pdf,INDUCTOR SMD 12.0 µH ±20%,Wurth Elektronik,744373965120,±20%,744373965,https://www.trustedparts.com/en/search/744373965120,9.1,20.0
L_744373965150,L,15.0 µH,inductor_footprints:744373965,https://www.we-online.com/components/products/datasheet/150.pdf,INDUCTOR SMD 15.0 µH ±20%,Wurth Elektronik,744373965150,±20%,744373965,https://www.trustedparts.com/en/search/744373965150,7.7,28.0
L_744373965220,L,22.0 µH,inductor_footprints:744373965,https://www.we-online.com/components/products/datasheet/220.pdf,INDUCTOR SMD 22.0 µH ±20%,Wurth Elektronik,744373965220,±20%,744373965,https://www.trustedparts.com/en/search/744373965220,6.5,37.0
L_744373965330,L,33.0 µH,inductor_footprints:744373965,https://www.we-online.com/components/products/datasheet/330.pdf,INDUCTOR SMD 33.0 µH ±20%,Wurth Elektronik,744373965330,±20%,744373965,https://www.trustedparts.com/en/search/744373965330,5.45,58.0
L_744373965470,L,47.0 µH,inductor_footprints:744373965,https://www.we-online.com/components/products/datasheet/470.pdf,INDUCTOR SMD 47.0 µH ±20%,Wurth Elektronik,744373965470,±20%,744373965,https://www.trustedparts.com/en/search/744373965470,4.4,90.0
L_744373965101,L,100.0 µH,inductor_footprints:744373965,https://www.we-online.com/components/products/datasheet/101.pdf,INDUCTOR SMD 100.0 µH ±20%,Wurth Elektronik,744373965101,±20%,744373965,https://www.trustedparts.com/en/search/744373965101,3.2,165.0
