Symbol Name,Datasheet,Description,Footprint,MPN,Reference,Value
U_PCA9538ABSHP,https://www.nxp.com/docs/en/data-sheet/PCA9538A.pdf,Low-voltage 8-bit I2C-bus I/O port with interrupt and reset,nxp_footprints:HVQFN16_SOT758-1_NXP,PCA9538ABSHP,U,PCA9538ABSHP
U_PCAL9555AHF_128,https://www.nxp.com/docs/en/data-sheet/PCAL9555A.pdf,"Low-voltage 16-bit I2C-bus GPIO with Agile I/O, interrupt and weak pull-up",nxp_footprints:HWQFN24_SOT994-1_NXP,"PCAL9555AHF,128",U,PCAL9555AHF_128
