Symbol Name,Reference,Value,Footprint,Datasheet,Description,Manufacturer,MPN,Tolerance,Series,Trustedparts Search,Maximum DC Current (A),Maximum DC Resistance (mΩ)
L_744373340033,L,330 nH,inductor_footprints:74437334,https://www.we-online.com/components/products/datasheet/0033.pdf,INDUCTOR SMD 330 nH ±20%,Wurth Elektronik,744373340033,±20%,74437334,https://www.trustedparts.com/en/search/744373340033,12.4,7.3
L_744373340047,L,470 nH,inductor_footprints:74437334,https://www.we-online.com/components/products/datasheet/0047.pdf,INDUCTOR SMD 470 nH ±20%,Wurth Elektronik,744373340047,±20%,74437334,https://www.trustedparts.com/en/search/744373340047,11.5,8.6
L_744373340068,L,680 nH,inductor_footprints:74437334,https://www.we-online.com/components/products/datasheet/0068.pdf,INDUCTOR SMD 680 nH ±20%,Wurth Elektronik,744373340068,±20%,74437334,https://www.trustedparts.com/en/search/744373340068,9.4,12.4
L_74437334010,L,1.0 µH,inductor_footprints:74437334,https://www.we-online.com/components/products/datasheet/010.pdf,INDUCTOR SMD 1.0 µH ±20%,Wurth Elektronik,74437334010,±20%,74437334,https://www.trustedparts.com/en/search/74437334010,7.4,20.0
L_74437334012,L,1.2 µH,inductor_footprints:74437334,https://www.we-online.com/components/products/datasheet/012.pdf,INDUCTOR SMD 1.2 µH ±20%,Wurth Elektronik,74437334012,±20%,74437334,https://www.trustedparts.com/en/search/74437334012,6.4,28.0
L_74437334015,L,1.5 µH,inductor_footprints:74437334,https://www.we-online.com/components/products/datasheet/015.pdf,INDUCTOR SMD 1.5 µH ±20%,Wurth Elektronik,74437334015,±20%,74437334,https://www.trustedparts.com/en/search/74437334015,6.0,30.5
L_74437334022,L,2.2 µH,inductor_footprints:74437334,https://www.we-online.com/components/products/datasheet/022.pdf,INDUCTOR SMD 2.2 µH ±20%,Wurth Elektronik,74437334022,±20%,74437334,https://www.trustedparts.com/en/search/74437334022,4.75,50.0
L_74437334033,L,3.3 µH,inductor_footprints:74437334,https://www.we-online.com/components/products/datasheet/033.pdf,INDUCTOR SMD 3.3 µH ±20%,Wurth Elektronik,74437334033,±20%,74437334,https://www.trustedparts.com/en/search/74437334033,3.75,76.0
L_74437334047,L,4.7 µH,inductor_footprints:74437334,https://www.we-online.com/components/products/datasheet/047.pdf,INDUCTOR SMD 4.7 µH ±20%,Wurth Elektronik,74437334047,±20%,74437334,https://www.trustedparts.com/en/search/74437334047,3.0,116.0
L_74437334056,L,5.6 µH,inductor_footprints:74437334,https://www.we-online.com/components/products/datasheet/056.pdf,INDUCTOR SMD 5.6 µH ±20%,Wurth Elektronik,74437334056,±20%,74437334,https://www.trustedparts.com/en/search/74437334056,2.85,122.0
L_74437334068,L,6.8 µH,inductor_footprints:74437334,https://www.we-online.com/components/products/datasheet/068.pdf,INDUCTOR SMD 6.8 µH ±20%,Wurth Elektronik,74437334068,±20%,74437334,https://www.trustedparts.com/en/search/74437334068,2.65,150.0
L_74437334082,L,8.2 µH,inductor_footprints:74437334,https://www.we-online.com/components/products/datasheet/082.pdf,INDUCTOR SMD 8.2 µH ±20%,Wurth Elektronik,74437334082,±20%,74437334,https://www.trustedparts.com/en/search/74437334082,2.5,171.0
L_74437334100,L,10.0 µH,inductor_footprints:74437334,https://www.we-online.com/components/products/datasheet/100.pdf,INDUCTOR SMD 10.0 µH ±20%,Wurth Elektronik,74437334100,±20%,74437334,https://www.trustedparts.com/en/search/74437334100,2.25,199.0
