Symbol Name,Reference,Value,Footprint,Datasheet,Description,Manufacturer,MPN,Series,Trustedparts Search,Pin Count,Mounting Angle,Mounting Style,Number of Rows
S_TS21-34-035-BK-160-SMT-TR,S,TS21-34-035-BK-160-SMT-TR,tactile_switches_footprints:TS21,https://www.sameskydevices.com/product/resource/ts21.pdf,"Same Sky Vertical mounting,  Surface Mount, ",Same Sky,TS21-34-035-BK-160-SMT-TR,TS21-34-035-BK-160-SMT-TR,https://www.trustedparts.com/en/search/TS21-34-035-BK-160-SMT-TR,2,Vertical,Surface Mount,2
S_TS21-34-035-BK-260-SMT-TR,S,TS21-34-035-BK-260-SMT-TR,tactile_switches_footprints:TS21,https://www.sameskydevices.com/product/resource/ts21.pdf,"Same Sky Vertical mounting,  Surface Mount, ",Same Sky,TS21-34-035-BK-260-SMT-TR,TS21-34-035-BK-260-SMT-TR,https://www.trustedparts.com/en/search/TS21-34-035-BK-260-SMT-TR,2,Vertical,Surface Mount,2
S_TS24-62-14-BL-200-SMT-TR-67,S,TS24-62-14-BL-200-SMT-TR-67,tactile_switches_footprints:TS24-BL,https://www.sameskydevices.com/product/resource/ts24.pdf,"Same Sky Vertical mounting,  Surface Mount, ",Same Sky,TS24-62-14-BL-200-SMT-TR-67,TS24-62-14-BL-200-SMT-TR-67,https://www.trustedparts.com/en/search/TS24-62-14-BL-200-SMT-TR-67,2,Vertical,Surface Mount,2
S_TS24-62-14-BL-250-SMT-TR-67,S,TS24-62-14-BL-250-SMT-TR-67,tactile_switches_footprints:TS24-BL,https://www.sameskydevices.com/product/resource/ts24.pdf,"Same Sky Vertical mounting,  Surface Mount, ",Same Sky,TS24-62-14-BL-250-SMT-TR-67,TS24-62-14-BL-250-SMT-TR-67,https://www.trustedparts.com/en/search/TS24-62-14-BL-250-SMT-TR-67,2,Vertical,Surface Mount,2
S_TS29-1212-1-R-300-D,S,TS29-1212-1-R-300-D,tactile_switches_footprints:TS29-R,https://www.sameskydevices.com/product/resource/ts29.pdf,"Same Sky Vertical mounting,  Through Hole, ",Same Sky,TS29-1212-1-R-300-D,TS29-1212-1-R-300-D,https://www.trustedparts.com/en/search/TS29-1212-1-R-300-D,3,Vertical,Through Hole,2
S_TS29-1212-1-G-300-D,S,TS29-1212-1-G-300-D,tactile_switches_footprints:TS29-G,https://www.sameskydevices.com/product/resource/ts29.pdf,"Same Sky Vertical mounting,  Through Hole, ",Same Sky,TS29-1212-1-G-300-D,TS29-1212-1-G-300-D,https://www.trustedparts.com/en/search/TS29-1212-1-G-300-D,3,Vertical,Through Hole,2
S_TS29-1212-1-BL-300-D,S,TS29-1212-1-BL-300-D,tactile_switches_footprints:TS29-BL,https://www.sameskydevices.com/product/resource/ts29.pdf,"Same Sky Vertical mounting,  Through Hole, ",Same Sky,TS29-1212-1-BL-300-D,TS29-1212-1-BL-300-D,https://www.trustedparts.com/en/search/TS29-1212-1-BL-300-D,3,Vertical,Through Hole,2
S_TS29-1212-1-WT-300-D,S,TS29-1212-1-WT-300-D,tactile_switches_footprints:TS29-WT,https://www.sameskydevices.com/product/resource/ts29.pdf,"Same Sky Vertical mounting,  Through Hole, ",Same Sky,TS29-1212-1-WT-300-D,TS29-1212-1-WT-300-D,https://www.trustedparts.com/en/search/TS29-1212-1-WT-300-D,3,Vertical,Through Hole,2
S_TS29-1212-1-Y-300-D,S,TS29-1212-1-Y-300-D,tactile_switches_footprints:TS29-Y,https://www.sameskydevices.com/product/resource/ts29.pdf,"Same Sky Vertical mounting,  Through Hole, ",Same Sky,TS29-1212-1-Y-300-D,TS29-1212-1-Y-300-D,https://www.trustedparts.com/en/search/TS29-1212-1-Y-300-D,3,Vertical,Through Hole,2
