Symbol Name,Datasheet,Description,Footprint,MPN,Reference,Value
U_BMI270,https://www.bosch-sensortec.com/media/boschsensortec/downloads/datasheets/bst-bmi270-ds000.pdf,IMUs - Inertial Measurement Units Smart Ultra-Low Power Inertial Measurement Unit (IMU) for Wearable Applications,bosch_footprints:BMI270,BMI270,U,BMI270
U_BMP390,https://www.bosch-sensortec.com/media/boschsensortec/downloads/datasheets/bst-bmp390-ds002.pdf,Board Mount Pressure Sensors,bosch_footprints:BMP390,BMP390,U,BMP390
