Symbol Name,Reference,Value,Footprint,Datasheet,Description,Manufacturer,MPN,Tolerance,Series,Trustedparts Search,Maximum DC Current (A),Maximum DC Resistance (mΩ)
L_XAL5030-161ME,L,160 nH,inductor_footprints:XAL5030,https://www.coilcraft.com/getmedia/49bc46c8-4b2c-45b9-9b6c-2eaa235ea698/xal50xx.pdf,INDUCTOR SMD 160 nH ±20%,Coilcraft,XAL5030-161ME,±20%,XAL5030,https://www.trustedparts.com/en/search/XAL5030-161ME,22.2,2.36
L_XAL5030-331ME,L,330 nH,inductor_footprints:XAL5030,https://www.coilcraft.com/getmedia/49bc46c8-4b2c-45b9-9b6c-2eaa235ea698/xal50xx.pdf,INDUCTOR SMD 330 nH ±20%,Coilcraft,XAL5030-331ME,±20%,XAL5030,https://www.trustedparts.com/en/search/XAL5030-331ME,19.2,3.52
L_XAL5030-601ME,L,600 nH,inductor_footprints:XAL5030,https://www.coilcraft.com/getmedia/49bc46c8-4b2c-45b9-9b6c-2eaa235ea698/xal50xx.pdf,INDUCTOR SMD 600 nH ±20%,Coilcraft,XAL5030-601ME,±20%,XAL5030,https://www.trustedparts.com/en/search/XAL5030-601ME,17.7,4.52
L_XAL5030-801ME,L,800 nH,inductor_footprints:XAL5030,https://www.coilcraft.com/getmedia/49bc46c8-4b2c-45b9-9b6c-2eaa235ea698/xal50xx.pdf,INDUCTOR SMD 800 nH ±20%,Coilcraft,XAL5030-801ME,±20%,XAL5030,https://www.trustedparts.com/en/search/XAL5030-801ME,13.0,5.65
L_XAL5030-102ME,L,1.0 µH,inductor_footprints:XAL5030,https://www.coilcraft.com/getmedia/49bc46c8-4b2c-45b9-9b6c-2eaa235ea698/xal50xx.pdf,INDUCTOR SMD 1.0 µH ±20%,Coilcraft,XAL5030-102ME,±20%,XAL5030,https://www.trustedparts.com/en/search/XAL5030-102ME,11.1,9.4
L_XAL5030-122ME,L,1.2 µH,inductor_footprints:XAL5030,https://www.coilcraft.com/getmedia/49bc46c8-4b2c-45b9-9b6c-2eaa235ea698/xal50xx.pdf,INDUCTOR SMD 1.2 µH ±20%,Coilcraft,XAL5030-122ME,±20%,XAL5030,https://www.trustedparts.com/en/search/XAL5030-122ME,10.4,12.4
L_XAL5030-222ME,L,2.2 µH,inductor_footprints:XAL5030,https://www.coilcraft.com/getmedia/49bc46c8-4b2c-45b9-9b6c-2eaa235ea698/xal50xx.pdf,INDUCTOR SMD 2.2 µH ±20%,Coilcraft,XAL5030-222ME,±20%,XAL5030,https://www.trustedparts.com/en/search/XAL5030-222ME,9.7,14.5
L_XAL5030-332ME,L,3.3 µH,inductor_footprints:XAL5030,https://www.coilcraft.com/getmedia/49bc46c8-4b2c-45b9-9b6c-2eaa235ea698/xal50xx.pdf,INDUCTOR SMD 3.3 µH ±20%,Coilcraft,XAL5030-332ME,±20%,XAL5030,https://www.trustedparts.com/en/search/XAL5030-332ME,8.1,23.3
L_XAL5030-472ME,L,4.7 µH,inductor_footprints:XAL5030,https://www.coilcraft.com/getmedia/49bc46c8-4b2c-45b9-9b6c-2eaa235ea698/xal50xx.pdf,INDUCTOR SMD 4.7 µH ±20%,Coilcraft,XAL5030-472ME,±20%,XAL5030,https://www.trustedparts.com/en/search/XAL5030-472ME,5.9,40.0
