Symbol Name,Reference,Value,Footprint,Datasheet,Description,Manufacturer,MPN,Tolerance,Series,Trustedparts Search,Maximum DC Current (A),Maximum DC Resistance (mΩ)
L_744373490047,L,470 nH,inductor_footprints:74437349,https://www.we-online.com/components/products/datasheet/0047.pdf,INDUCTOR SMD 470 nH ±20%,Wurth Elektronik,744373490047,±20%,74437349,https://www.trustedparts.com/en/search/744373490047,17.8,3.9
L_744373490056,L,560 nH,inductor_footprints:74437349,https://www.we-online.com/components/products/datasheet/0056.pdf,INDUCTOR SMD 560 nH ±20%,Wurth Elektronik,744373490056,±20%,74437349,https://www.trustedparts.com/en/search/744373490056,17.6,4.2
L_744373490068,L,680 nH,inductor_footprints:74437349,https://www.we-online.com/components/products/datasheet/0068.pdf,INDUCTOR SMD 680 nH ±20%,Wurth Elektronik,744373490068,±20%,74437349,https://www.trustedparts.com/en/search/744373490068,16.7,4.5
L_744373490082,L,820 nH,inductor_footprints:74437349,https://www.we-online.com/components/products/datasheet/0082.pdf,INDUCTOR SMD 820 nH ±20%,Wurth Elektronik,744373490082,±20%,74437349,https://www.trustedparts.com/en/search/744373490082,15.5,4.9
L_74437349010,L,1.0 µH,inductor_footprints:74437349,https://www.we-online.com/components/products/datasheet/010.pdf,INDUCTOR SMD 1.0 µH ±20%,Wurth Elektronik,74437349010,±20%,74437349,https://www.trustedparts.com/en/search/74437349010,13.4,6.5
L_74437349012,L,1.2 µH,inductor_footprints:74437349,https://www.we-online.com/components/products/datasheet/012.pdf,INDUCTOR SMD 1.2 µH ±20%,Wurth Elektronik,74437349012,±20%,74437349,https://www.trustedparts.com/en/search/74437349012,12.4,7.5
L_74437349015,L,1.5 µH,inductor_footprints:74437349,https://www.we-online.com/components/products/datasheet/015.pdf,INDUCTOR SMD 1.5 µH ±20%,Wurth Elektronik,74437349015,±20%,74437349,https://www.trustedparts.com/en/search/74437349015,11.3,9.0
L_74437349022,L,2.2 µH,inductor_footprints:74437349,https://www.we-online.com/components/products/datasheet/022.pdf,INDUCTOR SMD 2.2 µH ±20%,Wurth Elektronik,74437349022,±20%,74437349,https://www.trustedparts.com/en/search/74437349022,9.9,12.0
L_74437349033,L,3.3 µH,inductor_footprints:74437349,https://www.we-online.com/components/products/datasheet/033.pdf,INDUCTOR SMD 3.3 µH ±20%,Wurth Elektronik,74437349033,±20%,74437349,https://www.trustedparts.com/en/search/74437349033,7.5,20.9
L_74437349047,L,4.7 µH,inductor_footprints:74437349,https://www.we-online.com/components/products/datasheet/047.pdf,INDUCTOR SMD 4.7 µH ±20%,Wurth Elektronik,74437349047,±20%,74437349,https://www.trustedparts.com/en/search/74437349047,6.2,30.8
L_74437349056,L,5.6 µH,inductor_footprints:74437349,https://www.we-online.com/components/products/datasheet/056.pdf,INDUCTOR SMD 5.6 µH ±20%,Wurth Elektronik,74437349056,±20%,74437349,https://www.trustedparts.com/en/search/74437349056,4.9,49.0
L_74437349068,L,6.8 µH,inductor_footprints:74437349,https://www.we-online.com/components/products/datasheet/068.pdf,INDUCTOR SMD 6.8 µH ±20%,Wurth Elektronik,74437349068,±20%,74437349,https://www.trustedparts.com/en/search/74437349068,4.8,51.5
L_74437349082,L,8.2 µH,inductor_footprints:74437349,https://www.we-online.com/components/products/datasheet/082.pdf,INDUCTOR SMD 8.2 µH ±20%,Wurth Elektronik,74437349082,±20%,74437349,https://www.trustedparts.com/en/search/74437349082,4.35,63.0
L_74437349100,L,10.0 µH,inductor_footprints:74437349,https://www.we-online.com/components/products/datasheet/100.pdf,INDUCTOR SMD 10.0 µH ±20%,Wurth Elektronik,74437349100,±20%,74437349,https://www.trustedparts.com/en/search/74437349100,4.05,69.0
L_74437349150,L,15.0 µH,inductor_footprints:74437349,https://www.we-online.com/components/products/datasheet/150.pdf,INDUCTOR SMD 15.0 µH ±20%,Wurth Elektronik,74437349150,±20%,74437349,https://www.trustedparts.com/en/search/74437349150,3.6,92.0
L_74437349220,L,22.0 µH,inductor_footprints:74437349,https://www.we-online.com/components/products/datasheet/220.pdf,INDUCTOR SMD 22.0 µH ±20%,Wurth Elektronik,74437349220,±20%,74437349,https://www.trustedparts.com/en/search/74437349220,2.75,170.0
L_74437349330,L,33.0 µH,inductor_footprints:74437349,https://www.we-online.com/components/products/datasheet/330.pdf,INDUCTOR SMD 33.0 µH ±20%,Wurth Elektronik,74437349330,±20%,74437349,https://www.trustedparts.com/en/search/74437349330,2.45,200.0
L_74437349470,L,47.0 µH,inductor_footprints:74437349,https://www.we-online.com/components/products/datasheet/470.pdf,INDUCTOR SMD 47.0 µH ±20%,Wurth Elektronik,74437349470,±20%,74437349,https://www.trustedparts.com/en/search/74437349470,1.9,330.0
L_74437349560,L,56.0 µH,inductor_footprints:74437349,https://www.we-online.com/components/products/datasheet/560.pdf,INDUCTOR SMD 56.0 µH ±20%,Wurth Elektronik,74437349560,±20%,74437349,https://www.trustedparts.com/en/search/74437349560,1.75,396.0
L_74437349680,L,68.0 µH,inductor_footprints:74437349,https://www.we-online.com/components/products/datasheet/680.pdf,INDUCTOR SMD 68.0 µH ±20%,Wurth Elektronik,74437349680,±20%,74437349,https://www.trustedparts.com/en/search/74437349680,1.65,445.0
