Symbol Name,Reference,Value,Footprint,Datasheet,Description,Manufacturer,MPN,Dielectric,Tolerance,Voltage Rating,Case Code - in,Case Code - mm,Series,Trustedparts Search,Capacitor Type
C_GCM32DC72A475KE02K,C,4.7 µF,capacitor_footprints:C_1210_200_3225Metric,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GCM32DC72A475KE02-01.pdf,CAP SMD 4.7 µF X7S 10% 1210_200 100V,Murata Electronics,GCM32DC72A475KE02K,X7S,10%,100V,1210_200,3225,GCM32DC72A,https://www.trustedparts.com/en/search/GCM32DC72A475KE02K,Ceramic
C_GCM32DC72A475KE02L,C,4.7 µF,capacitor_footprints:C_1210_200_3225Metric,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GCM32DC72A475KE02-01.pdf,CAP SMD 4.7 µF X7S 10% 1210_200 100V,Murata Electronics,GCM32DC72A475KE02L,X7S,10%,100V,1210_200,3225,GCM32DC72A,https://www.trustedparts.com/en/search/GCM32DC72A475KE02L,Ceramic
