Symbol Name,Reference,Value,Footprint,Datasheet,Description,Manufacturer,MPN,Series,Trustedparts Search,Maximum DC Current (A),Diode Type
D_BZT52C9V1-7-F,D,9.1 V,diode_footprints:SOD_123,https://4donline.ihs.com/images/VipMasterIC/IC/DIOD/DIOD-S-A0003550684/DIOD-S-A0003550684-1.pdf?hkey=CECEF36DEECDED6468708AAF2E19C0C6,Zener SMD 9.1 V,Diodes Incorporated,BZT52C9V1-7-F,BZT52C,https://www.trustedparts.com/en/search/BZT52C9V1-7-F,0.5,Zener
D_BZT52C10-7-F,D,10.0 V,diode_footprints:SOD_123,https://4donline.ihs.com/images/VipMasterIC/IC/DIOD/DIOD-S-A0003550684/DIOD-S-A0003550684-1.pdf?hkey=CECEF36DEECDED6468708AAF2E19C0C6,Zener SMD 10.0 V,Diodes Incorporated,BZT52C10-7-F,BZT52C,https://www.trustedparts.com/en/search/BZT52C10-7-F,0.5,Zener
D_BZT52C11-7-F,D,11.0 V,diode_footprints:SOD_123,https://4donline.ihs.com/images/VipMasterIC/IC/DIOD/DIOD-S-A0003550684/DIOD-S-A0003550684-1.pdf?hkey=CECEF36DEECDED6468708AAF2E19C0C6,Zener SMD 11.0 V,Diodes Incorporated,BZT52C11-7-F,BZT52C,https://www.trustedparts.com/en/search/BZT52C11-7-F,0.5,Zener
D_BZT52C12-7-F,D,12.0 V,diode_footprints:SOD_123,https://4donline.ihs.com/images/VipMasterIC/IC/DIOD/DIOD-S-A0003550684/DIOD-S-A0003550684-1.pdf?hkey=CECEF36DEECDED6468708AAF2E19C0C6,Zener SMD 12.0 V,Diodes Incorporated,BZT52C12-7-F,BZT52C,https://www.trustedparts.com/en/search/BZT52C12-7-F,0.5,Zener
D_BZT52C13-7-F,D,13.0 V,diode_footprints:SOD_123,https://4donline.ihs.com/images/VipMasterIC/IC/DIOD/DIOD-S-A0003550684/DIOD-S-A0003550684-1.pdf?hkey=CECEF36DEECDED6468708AAF2E19C0C6,Zener SMD 13.0 V,Diodes Incorporated,BZT52C13-7-F,BZT52C,https://www.trustedparts.com/en/search/BZT52C13-7-F,0.5,Zener
D_BZT52C15-7-F,D,15.0 V,diode_footprints:SOD_123,https://4donline.ihs.com/images/VipMasterIC/IC/DIOD/DIOD-S-A0003550684/DIOD-S-A0003550684-1.pdf?hkey=CECEF36DEECDED6468708AAF2E19C0C6,Zener SMD 15.0 V,Diodes Incorporated,BZT52C15-7-F,BZT52C,https://www.trustedparts.com/en/search/BZT52C15-7-F,0.5,Zener
D_BZT52C16-7-F,D,16.0 V,diode_footprints:SOD_123,https://4donline.ihs.com/images/VipMasterIC/IC/DIOD/DIOD-S-A0003550684/DIOD-S-A0003550684-1.pdf?hkey=CECEF36DEECDED6468708AAF2E19C0C6,Zener SMD 16.0 V,Diodes Incorporated,BZT52C16-7-F,BZT52C,https://www.trustedparts.com/en/search/BZT52C16-7-F,0.5,Zener
D_BZT52C18-7-F,D,18.0 V,diode_footprints:SOD_123,https://4donline.ihs.com/images/VipMasterIC/IC/DIOD/DIOD-S-A0003550684/DIOD-S-A0003550684-1.pdf?hkey=CECEF36DEECDED6468708AAF2E19C0C6,Zener SMD 18.0 V,Diodes Incorporated,BZT52C18-7-F,BZT52C,https://www.trustedparts.com/en/search/BZT52C18-7-F,0.5,Zener
D_BZT52C20-7-F,D,20.0 V,diode_footprints:SOD_123,https://4donline.ihs.com/images/VipMasterIC/IC/DIOD/DIOD-S-A0003550684/DIOD-S-A0003550684-1.pdf?hkey=CECEF36DEECDED6468708AAF2E19C0C6,Zener SMD 20.0 V,Diodes Incorporated,BZT52C20-7-F,BZT52C,https://www.trustedparts.com/en/search/BZT52C20-7-F,0.5,Zener
D_BZT52C22-7-F,D,22.0 V,diode_footprints:SOD_123,https://4donline.ihs.com/images/VipMasterIC/IC/DIOD/DIOD-S-A0003550684/DIOD-S-A0003550684-1.pdf?hkey=CECEF36DEECDED6468708AAF2E19C0C6,Zener SMD 22.0 V,Diodes Incorporated,BZT52C22-7-F,BZT52C,https://www.trustedparts.com/en/search/BZT52C22-7-F,0.5,Zener
D_BZT52C24-7-F,D,24.0 V,diode_footprints:SOD_123,https://4donline.ihs.com/images/VipMasterIC/IC/DIOD/DIOD-S-A0003550684/DIOD-S-A0003550684-1.pdf?hkey=CECEF36DEECDED6468708AAF2E19C0C6,Zener SMD 24.0 V,Diodes Incorporated,BZT52C24-7-F,BZT52C,https://www.trustedparts.com/en/search/BZT52C24-7-F,0.5,Zener
D_BZT52C27-7-F,D,27.0 V,diode_footprints:SOD_123,https://4donline.ihs.com/images/VipMasterIC/IC/DIOD/DIOD-S-A0003550684/DIOD-S-A0003550684-1.pdf?hkey=CECEF36DEECDED6468708AAF2E19C0C6,Zener SMD 27.0 V,Diodes Incorporated,BZT52C27-7-F,BZT52C,https://www.trustedparts.com/en/search/BZT52C27-7-F,0.5,Zener
D_BZT52C30-7-F,D,30.0 V,diode_footprints:SOD_123,https://4donline.ihs.com/images/VipMasterIC/IC/DIOD/DIOD-S-A0003550684/DIOD-S-A0003550684-1.pdf?hkey=CECEF36DEECDED6468708AAF2E19C0C6,Zener SMD 30.0 V,Diodes Incorporated,BZT52C30-7-F,BZT52C,https://www.trustedparts.com/en/search/BZT52C30-7-F,0.5,Zener
D_BZT52C33-7-F,D,33.0 V,diode_footprints:SOD_123,https://4donline.ihs.com/images/VipMasterIC/IC/DIOD/DIOD-S-A0003550684/DIOD-S-A0003550684-1.pdf?hkey=CECEF36DEECDED6468708AAF2E19C0C6,Zener SMD 33.0 V,Diodes Incorporated,BZT52C33-7-F,BZT52C,https://www.trustedparts.com/en/search/BZT52C33-7-F,0.5,Zener
D_BZT52C36-7-F,D,36.0 V,diode_footprints:SOD_123,https://4donline.ihs.com/images/VipMasterIC/IC/DIOD/DIOD-S-A0003550684/DIOD-S-A0003550684-1.pdf?hkey=CECEF36DEECDED6468708AAF2E19C0C6,Zener SMD 36.0 V,Diodes Incorporated,BZT52C36-7-F,BZT52C,https://www.trustedparts.com/en/search/BZT52C36-7-F,0.5,Zener
D_BZT52C39-7-F,D,39.0 V,diode_footprints:SOD_123,https://4donline.ihs.com/images/VipMasterIC/IC/DIOD/DIOD-S-A0003550684/DIOD-S-A0003550684-1.pdf?hkey=CECEF36DEECDED6468708AAF2E19C0C6,Zener SMD 39.0 V,Diodes Incorporated,BZT52C39-7-F,BZT52C,https://www.trustedparts.com/en/search/BZT52C39-7-F,0.5,Zener
D_BZT52C43-7-F,D,43.0 V,diode_footprints:SOD_123,https://4donline.ihs.com/images/VipMasterIC/IC/DIOD/DIOD-S-A0003550684/DIOD-S-A0003550684-1.pdf?hkey=CECEF36DEECDED6468708AAF2E19C0C6,Zener SMD 43.0 V,Diodes Incorporated,BZT52C43-7-F,BZT52C,https://www.trustedparts.com/en/search/BZT52C43-7-F,0.5,Zener
D_BZT52C47-7-F,D,47.0 V,diode_footprints:SOD_123,https://4donline.ihs.com/images/VipMasterIC/IC/DIOD/DIOD-S-A0003550684/DIOD-S-A0003550684-1.pdf?hkey=CECEF36DEECDED6468708AAF2E19C0C6,Zener SMD 47.0 V,Diodes Incorporated,BZT52C47-7-F,BZT52C,https://www.trustedparts.com/en/search/BZT52C47-7-F,0.5,Zener
D_BZT52C51-7-F,D,51.0 V,diode_footprints:SOD_123,https://4donline.ihs.com/images/VipMasterIC/IC/DIOD/DIOD-S-A0003550684/DIOD-S-A0003550684-1.pdf?hkey=CECEF36DEECDED6468708AAF2E19C0C6,Zener SMD 51.0 V,Diodes Incorporated,BZT52C51-7-F,BZT52C,https://www.trustedparts.com/en/search/BZT52C51-7-F,0.5,Zener
