Symbol Name,Reference,Value,Footprint,Datasheet,Description,Manufacturer,MPN,Tolerance,Series,Trustedparts Search,Maximum DC Current (A),Maximum DC Resistance (mΩ)
L_XAL6060-472ME,L,4.7 µH,inductor_footprints:XAL6060,https://www.coilcraft.com/getmedia/ea51f14b-7f32-4dc6-8dfe-d4b70549040f/xal60xx.pdf,INDUCTOR SMD 4.7 µH ±20%,Coilcraft,XAL6060-472ME,±20%,XAL6060,https://www.trustedparts.com/en/search/XAL6060-472ME,11.0,14.4
L_XAL6060-562ME,L,5.6 µH,inductor_footprints:XAL6060,https://www.coilcraft.com/getmedia/ea51f14b-7f32-4dc6-8dfe-d4b70549040f/xal60xx.pdf,INDUCTOR SMD 5.6 µH ±20%,Coilcraft,XAL6060-562ME,±20%,XAL6060,https://www.trustedparts.com/en/search/XAL6060-562ME,10.0,15.9
L_XAL6060-682ME,L,6.8 µH,inductor_footprints:XAL6060,https://www.coilcraft.com/getmedia/ea51f14b-7f32-4dc6-8dfe-d4b70549040f/xal60xx.pdf,INDUCTOR SMD 6.8 µH ±20%,Coilcraft,XAL6060-682ME,±20%,XAL6060,https://www.trustedparts.com/en/search/XAL6060-682ME,9.0,20.8
L_XAL6060-822ME,L,8.2 µH,inductor_footprints:XAL6060,https://www.coilcraft.com/getmedia/ea51f14b-7f32-4dc6-8dfe-d4b70549040f/xal60xx.pdf,INDUCTOR SMD 8.2 µH ±20%,Coilcraft,XAL6060-822ME,±20%,XAL6060,https://www.trustedparts.com/en/search/XAL6060-822ME,8.0,26.4
L_XAL6060-103ME,L,10.0 µH,inductor_footprints:XAL6060,https://www.coilcraft.com/getmedia/ea51f14b-7f32-4dc6-8dfe-d4b70549040f/xal60xx.pdf,INDUCTOR SMD 10.0 µH ±20%,Coilcraft,XAL6060-103ME,±20%,XAL6060,https://www.trustedparts.com/en/search/XAL6060-103ME,7.0,29.82
L_XAL6060-153ME,L,15.0 µH,inductor_footprints:XAL6060,https://www.coilcraft.com/getmedia/ea51f14b-7f32-4dc6-8dfe-d4b70549040f/xal60xx.pdf,INDUCTOR SMD 15.0 µH ±20%,Coilcraft,XAL6060-153ME,±20%,XAL6060,https://www.trustedparts.com/en/search/XAL6060-153ME,6.0,43.75
L_XAL6060-223ME,L,22.0 µH,inductor_footprints:XAL6060,https://www.coilcraft.com/getmedia/ea51f14b-7f32-4dc6-8dfe-d4b70549040f/xal60xx.pdf,INDUCTOR SMD 22.0 µH ±20%,Coilcraft,XAL6060-223ME,±20%,XAL6060,https://www.trustedparts.com/en/search/XAL6060-223ME,5.0,60.63
L_XAL6060-333ME,L,33.0 µH,inductor_footprints:XAL6060,https://www.coilcraft.com/getmedia/ea51f14b-7f32-4dc6-8dfe-d4b70549040f/xal60xx.pdf,INDUCTOR SMD 33.0 µH ±20%,Coilcraft,XAL6060-333ME,±20%,XAL6060,https://www.trustedparts.com/en/search/XAL6060-333ME,3.6,105.0
